profile_id,first_name,last_name,gender,ethnicity,name_ID,provider,model,total_tokens,num_nouns,num_verbs,num_adjectives,num_adverbs,num_pronouns,num_numerals,num_other,nouns_per_1k,verbs_per_1k,adjectives_per_1k,adverbs_per_1k,pronouns_per_1k,numerals_per_1k,other_per_1k
1416,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,197,72,7,11,5,5,9,88,365.48223350253807,35.53299492385787,55.83756345177665,25.380710659898476,25.380710659898476,45.68527918781726,446.7005076142132
1485,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,197,74,9,10,8,7,9,80,375.6345177664975,45.68527918781726,50.76142131979695,40.609137055837564,35.53299492385787,45.68527918781726,406.0913705583756
1665,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,254,89,3,24,2,2,13,121,350.3937007874016,11.811023622047244,94.48818897637796,7.874015748031496,7.874015748031496,51.181102362204726,476.37795275590554
1737,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,238,84,6,23,1,3,14,107,352.94117647058823,25.210084033613448,96.63865546218487,4.201680672268908,12.605042016806724,58.82352941176471,449.5798319327731
176,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,241,78,3,19,4,4,16,117,323.6514522821577,12.44813278008299,78.83817427385893,16.597510373443985,16.597510373443985,66.39004149377594,485.4771784232366
1871,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,259,85,8,14,5,4,8,135,328.18532818532816,30.888030888030887,54.05405405405405,19.305019305019304,15.444015444015443,30.888030888030887,521.2355212355212
1885,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,233,77,7,12,3,8,5,121,330.4721030042918,30.04291845493562,51.50214592274678,12.875536480686694,34.33476394849785,21.459227467811157,519.31330472103
201,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,232,72,5,19,6,4,17,109,310.3448275862069,21.551724137931036,81.89655172413794,25.862068965517246,17.24137931034483,73.27586206896552,469.82758620689657
2100,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,221,78,6,14,4,5,10,104,352.94117647058823,27.149321266968325,63.34841628959276,18.099547511312217,22.62443438914027,45.24886877828054,470.5882352941176
2147,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,260,87,6,24,3,3,14,123,334.61538461538464,23.076923076923077,92.3076923076923,11.538461538461538,11.538461538461538,53.84615384615385,473.0769230769231
2168,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,216,70,6,21,5,4,9,101,324.0740740740741,27.77777777777778,97.22222222222223,23.14814814814815,18.51851851851852,41.66666666666667,467.5925925925926
2173,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,245,86,6,19,3,3,17,111,351.0204081632653,24.48979591836735,77.55102040816327,12.244897959183675,12.244897959183675,69.38775510204081,453.0612244897959
221,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,191,67,5,16,5,3,8,87,350.78534031413614,26.17801047120419,83.7696335078534,26.17801047120419,15.706806282722512,41.8848167539267,455.49738219895283
2566,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,240,76,6,20,4,3,15,116,316.6666666666667,25.0,83.33333333333334,16.666666666666668,12.5,62.50000000000001,483.33333333333337
2589,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,80,18,1,8,1,2,5,45,225.0,12.5,100.0,12.5,25.0,62.5,562.5
2660,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,253,88,10,25,4,8,14,104,347.82608695652175,39.52569169960474,98.81422924901186,15.810276679841897,31.620553359683793,55.33596837944664,411.0671936758893
2793,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,278,93,7,21,7,4,18,128,334.53237410071944,25.179856115107913,75.53956834532374,25.179856115107913,14.388489208633093,64.74820143884892,460.431654676259
2795,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,283,97,9,19,7,6,18,127,342.75618374558303,31.802120141342755,67.13780918727915,24.734982332155475,21.201413427561835,63.60424028268551,448.7632508833922
2860,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,229,84,3,17,5,2,9,109,366.81222707423586,13.100436681222709,74.23580786026201,21.83406113537118,8.733624454148472,39.301310043668124,475.98253275109175
2927,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,249,74,5,14,5,2,13,136,297.18875502008035,20.080321285140563,56.22489959839358,20.080321285140563,8.032128514056225,52.208835341365464,546.1847389558234
