profile_id,first_name,last_name,num_nouns,num_verbs,num_adjectives,num_adverbs,num_pronouns,num_numerals,num_other
1416,Adem,Şeker,71,8,12,5,5,9,87
1485,Adem,Şeker,74,9,11,6,7,8,82
1665,Adem,Şeker,88,2,24,2,2,14,122
1737,Adem,Şeker,84,7,22,1,3,14,107
176,Adem,Şeker,76,3,18,4,4,16,120
1871,Adem,Şeker,85,8,16,5,4,8,133
1885,Adem,Şeker,76,7,12,3,8,5,122
201,Adem,Şeker,74,5,19,7,4,17,106
2100,Adem,Şeker,78,7,14,3,5,10,104
2147,Adem,Şeker,89,6,23,3,3,14,122
2168,Adem,Şeker,69,7,20,5,4,9,102
2173,Adem,Şeker,88,6,19,3,3,17,109
221,Adem,Şeker,68,5,16,5,3,8,86
2566,Adem,Şeker,75,6,20,4,3,15,117
2589,Adem,Şeker,18,1,7,1,2,5,46
2660,Adem,Şeker,89,10,25,4,8,15,102
2793,Adem,Şeker,91,7,22,7,4,19,128
2795,Adem,Şeker,96,9,20,6,6,19,127
2860,Adem,Şeker,84,4,18,5,2,9,107
2927,Adem,Şeker,76,5,15,5,2,14,132
307,Adem,Şeker,73,6,28,2,6,13,113
3131,Adem,Şeker,94,8,22,11,5,12,146
377,Adem,Şeker,96,5,23,3,4,11,124
465,Adem,Şeker,71,7,14,4,4,13,112
528,Adem,Şeker,70,7,23,6,4,7,133
571,Adem,Şeker,76,2,23,6,2,13,116
6,Adem,Şeker,43,7,14,4,4,12,89
762,Adem,Şeker,69,4,15,1,4,14,81
778,Adem,Şeker,77,5,12,8,4,15,112
930,Adem,Şeker,100,6,26,5,2,19,163
1416,Ahmet,Akay,80,8,21,9,5,9,123
1485,Ahmet,Akay,64,6,12,10,6,9,89
1665,Ahmet,Akay,99,8,24,6,5,24,167
1737,Ahmet,Akay,81,5,20,4,2,9,100
176,Ahmet,Akay,82,4,21,3,1,17,109
1871,Ahmet,Akay,94,6,11,2,5,11,109
1885,Ahmet,Akay,84,6,21,3,5,5,113
201,Ahmet,Akay,71,7,14,2,6,17,94
2100,Ahmet,Akay,79,3,13,3,2,11,91
2147,Ahmet,Akay,75,11,14,8,5,21,93
2168,Ahmet,Akay,70,5,14,7,5,17,103
2173,Ahmet,Akay,99,7,20,5,3,16,127
221,Ahmet,Akay,92,5,21,5,5,14,128
2566,Ahmet,Akay,71,7,18,3,3,11,99
2589,Ahmet,Akay,85,4,17,1,4,17,107
2660,Ahmet,Akay,75,8,23,4,7,10,98
2793,Ahmet,Akay,76,7,20,4,5,18,120
2795,Ahmet,Akay,82,2,16,4,2,17,128
2860,Ahmet,Akay,101,6,20,6,4,24,138
2927,Ahmet,Akay,72,8,30,6,6,19,121
307,Ahmet,Akay,72,9,14,1,7,10,96
3131,Ahmet,Akay,75,4,12,3,4,18,113
377,Ahmet,Akay,79,7,16,2,3,12,104
465,Ahmet,Akay,62,7,20,6,5,16,99
528,Ahmet,Akay,85,7,30,5,2,15,148
571,Ahmet,Akay,55,5,13,10,5,13,90
6,Ahmet,Akay,64,9,18,3,4,9,114
762,Ahmet,Akay,74,6,14,3,3,12,118
778,Ahmet,Akay,75,5,18,3,5,10,100
930,Ahmet,Akay,83,8,28,8,5,11,131
1416,Angelika,Kohl,66,3,18,9,7,11,101
1485,Angelika,Kohl,70,4,12,4,1,9,96
1665,Angelika,Kohl,81,5,22,2,3,13,128
1737,Angelika,Kohl,76,5,20,8,4,9,97
176,Angelika,Kohl,76,6,29,6,4,9,143
1871,Angelika,Kohl,79,7,15,5,4,11,116
1885,Angelika,Kohl,68,7,15,8,6,9,101
201,Angelika,Kohl,73,5,22,7,4,11,87
2100,Angelika,Kohl,82,4,19,1,7,9,90
2147,Angelika,Kohl,85,8,12,4,6,17,114
2168,Angelika,Kohl,66,5,15,5,4,18,96
2173,Angelika,Kohl,93,8,12,7,6,19,131
221,Angelika,Kohl,89,8,24,6,5,17,132
2566,Angelika,Kohl,65,5,16,6,4,10,123
2589,Angelika,Kohl,88,6,23,1,3,8,140
2660,Angelika,Kohl,77,5,17,4,5,12,105
2793,Angelika,Kohl,86,4,14,5,3,14,99
2795,Angelika,Kohl,75,5,23,4,3,11,117
2860,Angelika,Kohl,96,5,21,4,2,17,139
2927,Angelika,Kohl,65,3,17,6,3,16,124
307,Angelika,Kohl,97,4,20,4,5,12,115
3131,Angelika,Kohl,86,9,22,9,9,17,145
377,Angelika,Kohl,94,3,22,1,2,18,122
465,Angelika,Kohl,70,4,12,3,1,9,102
528,Angelika,Kohl,72,4,22,2,2,9,110
571,Angelika,Kohl,71,9,21,5,2,10,109
6,Angelika,Kohl,55,7,16,8,4,5,99
762,Angelika,Kohl,86,9,12,5,5,17,114
778,Angelika,Kohl,94,4,21,3,2,14,113
930,Angelika,Kohl,83,4,21,7,4,12,157
1416,Britta,Kern,75,3,24,6,4,11,100
1485,Britta,Kern,79,6,22,3,4,7,93
1665,Britta,Kern,96,5,31,3,3,10,130
1737,Britta,Kern,97,8,29,4,9,10,122
176,Britta,Kern,86,5,20,7,6,15,143
1871,Britta,Kern,79,4,17,6,4,11,110
1885,Britta,Kern,83,4,15,4,3,10,99
201,Britta,Kern,84,6,17,2,4,10,109
2100,Britta,Kern,94,7,22,4,7,12,131
2147,Britta,Kern,82,8,16,2,3,11,114
2168,Britta,Kern,66,5,14,5,3,8,83
2173,Britta,Kern,93,5,14,7,3,9,136
221,Britta,Kern,93,9,27,5,5,10,136
2566,Britta,Kern,68,6,28,6,7,14,113
2589,Britta,Kern,79,6,16,2,4,7,126
2660,Britta,Kern,82,5,25,2,3,8,105
2793,Britta,Kern,69,2,11,5,4,14,102
2795,Britta,Kern,85,3,21,2,3,11,125
2860,Britta,Kern,81,6,23,4,2,11,120
2927,Britta,Kern,58,1,10,9,3,15,107
307,Britta,Kern,75,5,18,6,2,8,95
3131,Britta,Kern,85,7,20,10,3,15,110
377,Britta,Kern,87,9,23,5,7,17,108
465,Britta,Kern,77,4,19,4,3,10,116
528,Britta,Kern,60,4,23,11,4,6,113
571,Britta,Kern,82,8,14,2,5,11,111
6,Britta,Kern,43,7,14,6,4,4,80
762,Britta,Kern,81,4,16,3,5,14,98
778,Britta,Kern,57,5,13,5,2,12,72
930,Britta,Kern,79,4,22,3,5,7,133
1416,Cansu,Turan,71,5,12,5,5,17,86
1485,Cansu,Turan,81,7,12,4,5,10,112
1665,Cansu,Turan,73,5,23,3,3,6,94
1737,Cansu,Turan,67,7,14,6,4,13,100
176,Cansu,Turan,78,6,20,3,7,17,125
1871,Cansu,Turan,84,6,13,8,8,11,120
1885,Cansu,Turan,77,5,18,6,3,5,113
201,Cansu,Turan,87,7,27,3,5,7,87
2100,Cansu,Turan,100,6,21,4,5,14,123
2147,Cansu,Turan,89,7,18,5,4,16,117
2168,Cansu,Turan,68,4,19,3,4,9,110
2173,Cansu,Turan,82,2,22,5,1,13,89
221,Cansu,Turan,84,7,24,7,3,10,116
2566,Cansu,Turan,63,4,16,1,1,9,90
2589,Cansu,Turan,78,6,17,2,5,9,117
2660,Cansu,Turan,94,5,31,5,4,16,122
2793,Cansu,Turan,83,7,18,4,10,10,135
2795,Cansu,Turan,61,3,12,1,3,18,85
2860,Cansu,Turan,81,5,20,5,4,13,101
2927,Cansu,Turan,84,12,25,10,8,3,147
307,Cansu,Turan,64,6,18,6,4,9,87
3131,Cansu,Turan,81,8,19,10,6,9,99
377,Cansu,Turan,88,7,41,4,5,7,131
465,Cansu,Turan,72,3,14,6,4,12,112
528,Cansu,Turan,77,6,25,1,4,10,127
571,Cansu,Turan,76,5,22,5,5,10,112
6,Cansu,Turan,56,9,20,4,4,5,114
762,Cansu,Turan,79,5,16,2,3,13,117
778,Cansu,Turan,74,4,16,5,5,8,84
930,Cansu,Turan,71,6,18,3,4,13,110
1416,Carina,Lindner,72,4,18,4,4,9,98
1485,Carina,Lindner,78,7,17,3,4,12,104
1665,Carina,Lindner,95,6,23,3,5,21,133
1737,Carina,Lindner,79,8,18,6,9,11,106
176,Carina,Lindner,84,8,26,3,6,7,126
1871,Carina,Lindner,84,5,18,3,3,11,106
1885,Carina,Lindner,64,6,15,4,6,11,90
201,Carina,Lindner,79,4,22,1,4,10,87
2100,Carina,Lindner,89,4,22,3,4,15,109
2147,Carina,Lindner,84,7,23,4,5,10,106
2168,Carina,Lindner,73,5,19,2,4,7,105
2173,Carina,Lindner,89,9,25,10,7,14,129
221,Carina,Lindner,81,8,20,5,6,8,106
2566,Carina,Lindner,79,5,19,3,4,15,102
2589,Carina,Lindner,89,8,20,1,8,14,136
2660,Carina,Lindner,77,10,25,4,4,11,119
2793,Carina,Lindner,72,5,20,5,3,11,103
2795,Carina,Lindner,97,3,23,4,3,18,126
2860,Carina,Lindner,82,5,31,2,4,13,104
2927,Carina,Lindner,78,7,22,3,4,9,141
307,Carina,Lindner,70,5,19,4,5,13,96
3131,Carina,Lindner,60,5,20,6,3,11,90
377,Carina,Lindner,78,7,20,6,4,12,104
465,Carina,Lindner,77,6,17,6,2,14,119
528,Carina,Lindner,95,9,30,4,6,10,165
571,Carina,Lindner,76,6,21,2,6,18,91
6,Carina,Lindner,51,9,18,7,4,4,84
762,Carina,Lindner,75,10,12,2,4,18,108
778,Carina,Lindner,92,8,22,6,4,13,124
930,Carina,Lindner,78,4,25,4,3,11,136
1416,Daniel,Kuhn,92,8,20,7,8,10,107
1485,Daniel,Kuhn,72,8,17,9,8,13,95
1665,Daniel,Kuhn,89,2,22,4,4,12,145
1737,Daniel,Kuhn,73,8,23,4,2,5,105
176,Daniel,Kuhn,86,5,20,3,2,17,138
1871,Daniel,Kuhn,86,9,18,8,7,11,121
1885,Daniel,Kuhn,86,6,17,2,3,22,114
201,Daniel,Kuhn,69,4,21,5,4,11,100
2100,Daniel,Kuhn,85,5,22,3,6,10,113
2147,Daniel,Kuhn,94,7,25,6,7,10,121
2168,Daniel,Kuhn,63,6,24,7,5,12,96
2173,Daniel,Kuhn,81,8,19,8,4,13,111
221,Daniel,Kuhn,76,5,22,2,3,10,103
2566,Daniel,Kuhn,53,6,23,2,3,4,92
2589,Daniel,Kuhn,78,5,18,1,2,14,108
2660,Daniel,Kuhn,81,6,19,3,4,11,118
2793,Daniel,Kuhn,84,6,22,3,4,13,135
2795,Daniel,Kuhn,89,2,23,5,3,19,130
