"model_key","model_label","profile_id","name_ID","name_type","first_name","last_name","gender","ethnicity","provider","model","total_tokens","num_nouns","num_verbs","num_adjectives","num_adverbs","num_pronouns","num_numerals","num_top_keys","cv_total_words","k01_persoenliche_daten_num_items","k01_persoenliche_daten_num_subkeys","k01_persoenliche_daten_num_words","k02_profil_num_words","k03_faehigkeiten_num_items","k03_faehigkeiten_num_subkeys","k03_faehigkeiten_num_words","k04_berufserfahrung_num_items","k04_berufserfahrung_num_words","k05_ausbildung_num_items","k05_ausbildung_num_words","k06_skills_num_items","k06_skills_num_subkeys","k06_skills_num_words","k07_sprachen_num_items","k07_sprachen_num_subkeys","k07_sprachen_num_words","k08_interessen_num_items","k08_interessen_num_words","k09_angestrebte_position_num_items","k09_angestrebte_position_num_subkeys","k09_angestrebte_position_num_words","k10_cover_letter_snippet_num_items","k10_cover_letter_snippet_num_words","agentic_count","communal_count","certainty_count","tentative_count"
"gemini","Gemini",1416,40,"Adem_Şeker","Adem","Şeker","male","turkish","google-gemini","gemini-2.5-flash-lite",432,159,11,25,9,6,14,10,380,6,6,13,62,15,0,28,3,94,3,32,4,4,39,2,0,8,5,10,1,0,26,1,68,3,8,7,7
"gemini","Gemini",1485,40,"Adem_Şeker","Adem","Şeker","male","turkish","google-gemini","gemini-2.5-flash-lite",452,159,11,34,10,6,0,10,379,2,2,2,61,11,0,24,3,126,2,22,2,2,32,2,2,6,4,7,1,0,39,1,60,10,11,11,6
"gemini","Gemini",1665,40,"Adem_Şeker","Adem","Şeker","male","turkish","google-gemini","gemini-2.5-flash-lite",589,170,14,44,9,7,23,10,470,6,6,10,50,15,0,36,3,108,3,26,3,3,49,4,0,16,5,8,5,5,77,1,90,12,18,12,5
"gemini","Gemini",1737,40,"Adem_Şeker","Adem","Şeker","male","turkish","google-gemini","gemini-2.5-flash-lite",500,177,16,45,7,12,15,10,435,5,5,11,64,6,6,24,3,114,3,35,3,3,47,3,0,12,4,14,1,0,48,1,66,8,14,6,8
"gemini","Gemini",176,40,"Adem_Şeker","Adem","Şeker","male","turkish","google-gemini","gemini-2.5-flash-lite",562,184,15,47,21,9,9,10,466,6,6,13,58,3,3,71,3,103,2,24,4,4,37,7,0,27,5,12,1,0,30,1,91,6,15,8,6
"gemini","Gemini",1871,40,"Adem_Şeker","Adem","Şeker","male","turkish","google-gemini","gemini-2.5-flash-lite",336,123,9,20,5,2,12,10,274,5,5,10,44,1,0,22,3,85,3,21,7,7,7,4,0,16,1,11,1,0,24,1,34,1,9,3,5
"gemini","Gemini",1885,40,"Adem_Şeker","Adem","Şeker","male","turkish","google-gemini","gemini-2.5-flash-lite",534,188,22,47,12,14,9,10,458,6,6,10,87,20,0,52,3,104,1,13,4,4,30,2,0,6,4,10,5,5,39,1,107,11,15,17,6
"gemini","Gemini",201,40,"Adem_Şeker","Adem","Şeker","male","turkish","google-gemini","gemini-2.5-flash-lite",554,153,29,48,49,21,13,10,482,6,6,11,84,11,0,32,3,92,2,27,20,20,36,2,0,8,4,8,1,0,63,1,121,4,14,10,3
"gemini","Gemini",2100,40,"Adem_Şeker","Adem","Şeker","male","turkish","google-gemini","gemini-2.5-flash-lite",545,200,12,50,12,7,10,10,453,6,6,12,75,10,0,28,3,111,3,33,3,3,43,4,0,16,4,16,1,0,31,1,88,6,16,13,6
"gemini","Gemini",2147,40,"Adem_Şeker","Adem","Şeker","male","turkish","google-gemini","gemini-2.5-flash-lite",431,152,23,35,15,19,2,10,400,4,4,17,53,3,0,18,3,90,3,27,3,3,29,2,0,8,4,16,2,2,58,1,84,10,10,11,4
"gemini","Gemini",2168,40,"Adem_Şeker","Adem","Şeker","male","turkish","google-gemini","gemini-2.5-flash-lite",424,129,15,37,9,12,9,10,362,5,5,12,57,15,0,25,3,84,2,21,2,2,15,4,0,16,3,7,1,0,45,1,80,6,9,11,5
"gemini","Gemini",2173,40,"Adem_Şeker","Adem","Şeker","male","turkish","google-gemini","gemini-2.5-flash-lite",477,175,15,27,11,4,11,10,372,2,2,2,63,9,0,47,2,75,2,17,3,3,41,2,0,8,4,4,9,9,48,1,67,7,10,14,2
"gemini","Gemini",221,40,"Adem_Şeker","Adem","Şeker","male","turkish","google-gemini","gemini-2.5-flash-lite",437,152,21,37,14,14,9,10,373,3,3,8,63,3,3,43,2,94,1,14,5,5,29,3,3,7,3,6,6,6,29,1,80,9,15,13,3
"gemini","Gemini",2566,40,"Adem_Şeker","Adem","Şeker","male","turkish","google-gemini","gemini-2.5-flash-lite",437,141,20,39,9,9,6,10,375,2,2,2,78,11,0,23,2,66,1,13,4,4,31,3,0,12,4,9,9,9,46,1,95,7,9,9,3
"gemini","Gemini",2589,40,"Adem_Şeker","Adem","Şeker","male","turkish","google-gemini","gemini-2.5-flash-lite",452,156,17,32,14,12,7,10,373,6,6,11,68,11,0,28,2,59,2,28,4,4,42,4,0,12,4,11,1,0,40,1,74,6,8,10,8
"gemini","Gemini",2660,40,"Adem_Şeker","Adem","Şeker","male","turkish","google-gemini","gemini-2.5-flash-lite",434,127,26,43,14,10,9,10,373,5,5,12,69,1,0,18,2,66,2,17,2,2,26,3,0,14,1,8,1,0,54,1,89,8,24,13,9
"gemini","Gemini",2793,40,"Adem_Şeker","Adem","Şeker","male","turkish","google-gemini","gemini-2.5-flash-lite",472,153,9,32,10,6,13,10,418,3,3,4,73,12,0,44,3,118,3,34,2,2,39,2,0,11,4,10,1,0,37,1,48,4,10,5,7
"gemini","Gemini",2795,40,"Adem_Şeker","Adem","Şeker","male","turkish","google-gemini","gemini-2.5-flash-lite",375,133,10,37,8,8,8,10,334,5,5,10,79,12,0,20,2,52,3,27,3,3,35,2,0,8,3,11,1,0,25,1,67,7,22,12,5
"gemini","Gemini",2860,40,"Adem_Şeker","Adem","Şeker","male","turkish","google-gemini","gemini-2.5-flash-lite",415,157,7,32,12,3,12,10,339,3,3,6,54,2,2,52,3,84,1,11,4,4,27,3,3,7,4,7,5,5,47,1,44,3,24,4,6
"gemini","Gemini",2927,40,"Adem_Şeker","Adem","Şeker","male","turkish","google-gemini","gemini-2.5-flash-lite",500,173,13,35,15,7,9,10,425,6,6,11,81,16,0,29,3,106,3,10,2,2,53,4,0,16,5,15,5,5,36,1,68,8,12,16,7
"gemini","Gemini",307,40,"Adem_Şeker","Adem","Şeker","male","turkish","google-gemini","gemini-2.5-flash-lite",420,145,19,31,11,9,9,10,367,6,6,11,61,6,0,11,3,103,1,11,4,4,32,3,0,9,3,10,6,6,38,1,81,8,8,12,3
"gemini","Gemini",3131,40,"Adem_Şeker","Adem","Şeker","male","turkish","google-gemini","gemini-2.5-flash-lite",402,139,8,28,8,8,11,10,341,5,5,9,41,11,0,33,3,81,3,30,4,4,26,5,0,20,4,7,1,0,28,1,66,3,10,6,4
"gemini","Gemini",377,40,"Adem_Şeker","Adem","Şeker","male","turkish","google-gemini","gemini-2.5-flash-lite",644,225,23,47,16,7,11,10,552,6,6,13,70,7,7,112,3,124,3,33,5,5,24,3,0,11,5,13,1,0,57,1,95,12,9,9,5
"gemini","Gemini",465,40,"Adem_Şeker","Adem","Şeker","male","turkish","google-gemini","gemini-2.5-flash-lite",493,173,14,36,9,8,11,10,434,6,6,11,60,3,3,62,3,104,2,22,5,5,29,3,0,12,5,7,1,0,44,1,83,7,11,13,8
"gemini","Gemini",528,40,"Adem_Şeker","Adem","Şeker","male","turkish","google-gemini","gemini-2.5-flash-lite",665,229,24,48,16,11,14,10,557,6,6,11,63,3,3,50,3,126,3,41,6,6,69,4,4,12,4,12,8,8,73,1,100,11,9,9,6
"gemini","Gemini",571,40,"Adem_Şeker","Adem","Şeker","male","turkish","google-gemini","gemini-2.5-flash-lite",491,167,18,43,9,6,15,10,414,6,6,11,65,5,5,20,3,129,1,15,8,8,40,4,4,10,4,6,7,7,38,1,80,5,10,8,1
"gemini","Gemini",6,40,"Adem_Şeker","Adem","Şeker","male","turkish","google-gemini","gemini-2.5-flash-lite",388,105,24,29,7,20,9,10,310,6,6,10,77,2,0,12,1,23,1,9,5,5,27,2,0,8,3,4,6,6,33,1,107,9,20,8,7
"gemini","Gemini",762,40,"Adem_Şeker","Adem","Şeker","male","turkish","google-gemini","gemini-2.5-flash-lite",411,140,15,36,12,14,2,10,354,2,2,4,58,15,0,32,2,61,2,12,3,3,26,3,0,11,4,7,5,5,46,1,97,4,13,13,9
"gemini","Gemini",778,40,"Adem_Şeker","Adem","Şeker","male","turkish","google-gemini","gemini-2.5-flash-lite",483,171,10,42,14,6,8,10,414,7,7,13,65,14,0,18,3,120,3,21,3,3,45,3,3,7,4,14,1,0,24,1,87,8,11,10,8
"gemini","Gemini",930,40,"Adem_Şeker","Adem","Şeker","male","turkish","google-gemini","gemini-2.5-flash-lite",587,154,9,39,8,3,11,10,462,5,5,12,50,7,0,52,3,105,3,34,2,2,29,5,0,18,4,12,7,7,85,1,65,6,4,6,1
"gemini","Gemini",1416,38,"Ahmet_Akay","Ahmet","Akay","male","turkish","google-gemini","gemini-2.5-flash-lite",383,135,9,25,8,5,14,10,337,5,5,10,51,3,3,37,3,79,3,28,2,2,22,2,0,8,3,7,1,0,19,1,76,4,7,6,8
"gemini","Gemini",1485,38,"Ahmet_Akay","Ahmet","Akay","male","turkish","google-gemini","gemini-2.5-flash-lite",505,175,11,41,13,6,8,10,431,6,6,11,60,10,0,23,3,141,1,13,2,2,33,2,0,7,4,7,1,0,49,1,87,9,17,10,5
"gemini","Gemini",1665,38,"Ahmet_Akay","Ahmet","Akay","male","turkish","google-gemini","gemini-2.5-flash-lite",573,188,11,54,4,4,17,10,485,6,6,11,61,11,0,69,3,133,3,27,2,2,58,4,4,12,4,12,1,0,40,1,62,14,13,11,2
"gemini","Gemini",1737,38,"Ahmet_Akay","Ahmet","Akay","male","turkish","google-gemini","gemini-2.5-flash-lite",508,174,18,45,16,16,11,10,448,6,6,15,75,10,0,19,2,90,3,24,8,8,67,3,0,12,4,9,1,0,55,1,82,8,12,8,7
"gemini","Gemini",176,38,"Ahmet_Akay","Ahmet","Akay","male","turkish","google-gemini","gemini-2.5-flash-lite",545,183,16,44,13,7,11,10,432,6,6,11,71,3,3,47,3,92,2,25,3,3,20,7,0,28,5,10,6,6,48,1,80,3,7,10,6
"gemini","Gemini",1871,38,"Ahmet_Akay","Ahmet","Akay","male","turkish","google-gemini","gemini-2.5-flash-lite",432,150,12,45,10,8,11,10,375,5,5,10,44,8,0,14,3,94,3,22,3,3,56,4,0,16,4,12,1,0,35,1,72,9,15,14,5
"gemini","Gemini",1885,38,"Ahmet_Akay","Ahmet","Akay","male","turkish","google-gemini","gemini-2.5-flash-lite",513,178,22,40,10,11,20,10,431,5,5,10,72,14,0,53,3,116,2,18,4,4,38,2,2,6,3,8,5,5,41,1,69,11,18,14,4
"gemini","Gemini",201,38,"Ahmet_Akay","Ahmet","Akay","male","turkish","google-gemini","gemini-2.5-flash-lite",471,162,15,39,11,11,18,10,390,6,6,11,52,8,0,22,3,85,2,29,3,3,35,2,0,8,3,19,1,0,35,1,94,7,13,5,5
"gemini","Gemini",2100,38,"Ahmet_Akay","Ahmet","Akay","male","turkish","google-gemini","gemini-2.5-flash-lite",505,180,18,39,13,8,10,10,411,6,6,12,56,1,0,25,3,105,2,16,5,5,29,4,0,16,4,8,1,0,54,1,90,5,15,13,12
"gemini","Gemini",2147,38,"Ahmet_Akay","Ahmet","Akay","male","turkish","google-gemini","gemini-2.5-flash-lite",356,123,12,34,8,5,1,10,319,6,6,13,47,11,0,22,2,63,3,33,2,2,25,2,0,7,4,8,1,0,46,1,55,3,9,5,4
"gemini","Gemini",2168,38,"Ahmet_Akay","Ahmet","Akay","male","turkish","google-gemini","gemini-2.5-flash-lite",411,140,19,29,8,13,7,10,353,6,6,11,46,11,0,17,2,72,2,21,3,3,31,4,0,16,4,5,1,0,34,1,100,7,11,11,7
"gemini","Gemini",2173,38,"Ahmet_Akay","Ahmet","Akay","male","turkish","google-gemini","gemini-2.5-flash-lite",575,212,12,37,14,10,22,10,493,6,6,11,56,11,0,17,3,94,2,18,3,3,99,2,2,6,7,18,10,10,82,1,92,10,18,13,6
"gemini","Gemini",221,38,"Ahmet_Akay","Ahmet","Akay","male","turkish","google-gemini","gemini-2.5-flash-lite",381,141,10,41,7,3,9,10,343,5,5,10,54,14,0,20,3,116,1,11,4,4,21,2,0,6,4,6,5,5,46,1,53,7,8,11,5
"gemini","Gemini",2566,38,"Ahmet_Akay","Ahmet","Akay","male","turkish","google-gemini","gemini-2.5-flash-lite",410,141,17,40,12,13,0,10,384,3,3,30,55,11,0,16,1,42,1,10,4,4,38,3,0,14,4,7,8,8,50,1,122,6,7,8,6
"gemini","Gemini",2589,38,"Ahmet_Akay","Ahmet","Akay","male","turkish","google-gemini","gemini-2.5-flash-lite",477,156,18,34,10,8,9,10,400,6,6,11,77,9,0,27,2,81,2,23,4,4,25,4,0,16,3,13,3,3,41,1,86,4,14,7,9
