"model_key","model_label","profile_id","name_ID","name_type","first_name","last_name","gender","ethnicity","provider","model","total_tokens","num_nouns","num_verbs","num_adjectives","num_adverbs","num_pronouns","num_numerals","num_top_keys","cv_total_words","k01_persoenliche_daten_num_items","k01_persoenliche_daten_num_subkeys","k01_persoenliche_daten_num_words","k02_profil_num_words","k03_faehigkeiten_num_items","k03_faehigkeiten_num_subkeys","k03_faehigkeiten_num_words","k04_berufserfahrung_num_items","k04_berufserfahrung_num_words","k05_ausbildung_num_items","k05_ausbildung_num_words","k06_skills_num_items","k06_skills_num_subkeys","k06_skills_num_words","k07_sprachen_num_items","k07_sprachen_num_subkeys","k07_sprachen_num_words","k08_interessen_num_items","k08_interessen_num_words","k09_angestrebte_position_num_items","k09_angestrebte_position_num_subkeys","k09_angestrebte_position_num_words","k10_cover_letter_snippet_num_items","k10_cover_letter_snippet_num_words","agentic_count","communal_count","certainty_count","tentative_count"
"openai","ChatGPT",1416,40,"Adem_Şeker","Adem","Şeker","male","turkish","openai","gpt-4o-mini",188,72,7,9,5,5,7,10,180,6,6,8,37,10,0,15,2,41,2,13,5,0,6,2,2,5,5,8,1,0,13,1,34,0,9,0,1
"openai","ChatGPT",1485,40,"Adem_Şeker","Adem","Şeker","male","turkish","openai","gpt-4o-mini",187,72,9,12,7,7,4,10,186,5,5,9,42,10,0,10,2,48,1,4,6,0,8,2,0,4,3,15,1,0,14,1,32,6,5,2,4
"openai","ChatGPT",1665,40,"Adem_Şeker","Adem","Şeker","male","turkish","openai","gpt-4o-mini",240,87,2,24,2,2,7,10,223,5,5,9,42,7,0,18,2,57,3,20,6,0,10,4,4,4,5,11,1,0,12,1,40,5,15,3,2
"openai","ChatGPT",1737,40,"Adem_Şeker","Adem","Şeker","male","turkish","openai","gpt-4o-mini",223,82,7,24,1,3,7,10,190,5,5,10,42,1,0,10,2,45,3,18,1,0,8,3,3,3,1,9,1,0,13,1,32,3,11,2,3
"openai","ChatGPT",176,40,"Adem_Şeker","Adem","Şeker","male","turkish","openai","gpt-4o-mini",231,74,3,18,4,4,12,10,191,5,5,9,36,1,0,17,2,45,2,10,1,0,8,7,7,7,1,9,1,0,11,1,39,3,6,4,3
"openai","ChatGPT",1871,40,"Adem_Şeker","Adem","Şeker","male","turkish","openai","gpt-4o-mini",250,85,8,15,5,4,6,10,194,5,5,8,44,1,0,13,2,37,2,9,1,0,8,4,4,11,1,7,1,0,13,1,44,2,11,4,3
"openai","ChatGPT",1885,40,"Adem_Şeker","Adem","Şeker","male","turkish","openai","gpt-4o-mini",224,77,7,12,3,8,3,10,185,5,5,6,41,1,0,14,1,53,1,6,1,0,7,3,3,2,1,10,1,0,11,1,35,3,13,5,2
"openai","ChatGPT",201,40,"Adem_Şeker","Adem","Şeker","male","turkish","openai","gpt-4o-mini",215,74,5,17,7,4,9,10,183,5,5,11,33,1,0,14,2,42,2,17,1,0,13,3,3,7,1,8,1,0,13,1,25,1,14,2,2
"openai","ChatGPT",2100,40,"Adem_Şeker","Adem","Şeker","male","turkish","openai","gpt-4o-mini",207,77,7,12,3,5,6,10,183,5,5,12,37,1,0,9,2,38,2,11,1,0,17,4,4,4,5,6,1,0,11,1,38,2,8,3,4
"openai","ChatGPT",2147,40,"Adem_Şeker","Adem","Şeker","male","turkish","openai","gpt-4o-mini",246,88,5,23,3,3,6,10,211,5,5,7,38,1,0,16,3,53,3,17,1,0,6,3,3,10,1,6,1,0,14,1,44,2,8,4,2
"openai","ChatGPT",2168,40,"Adem_Şeker","Adem","Şeker","male","turkish","openai","gpt-4o-mini",208,72,6,20,5,4,7,10,185,5,5,7,48,6,0,6,2,35,2,13,5,0,5,4,4,12,5,6,1,0,14,1,39,1,8,6,4
"openai","ChatGPT",2173,40,"Adem_Şeker","Adem","Şeker","male","turkish","openai","gpt-4o-mini",232,88,5,18,3,3,13,10,201,5,5,11,36,1,0,8,3,69,2,15,1,0,6,2,2,2,1,9,1,0,9,1,36,6,9,3,2
"openai","ChatGPT",221,40,"Adem_Şeker","Adem","Şeker","male","turkish","openai","gpt-4o-mini",180,67,5,16,5,3,4,10,175,5,5,10,42,5,0,6,2,40,1,7,4,0,5,2,0,4,4,7,1,0,12,1,42,2,5,1,1
"openai","ChatGPT",2566,40,"Adem_Şeker","Adem","Şeker","male","turkish","openai","gpt-4o-mini",229,76,6,20,4,3,11,10,201,5,5,8,33,6,0,17,2,55,1,6,6,0,16,3,0,6,4,7,1,0,12,1,41,1,5,3,2
"openai","ChatGPT",2589,40,"Adem_Şeker","Adem","Şeker","male","turkish","openai","gpt-4o-mini",67,18,1,8,1,2,0,3,71,5,5,9,50,7,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2
"openai","ChatGPT",2660,40,"Adem_Şeker","Adem","Şeker","male","turkish","openai","gpt-4o-mini",238,89,10,24,4,8,6,10,223,5,5,10,57,7,0,7,2,51,2,11,5,0,5,3,3,9,5,14,1,0,18,1,41,5,18,6,4
"openai","ChatGPT",2793,40,"Adem_Şeker","Adem","Şeker","male","turkish","openai","gpt-4o-mini",263,93,7,20,7,4,10,10,233,5,5,10,44,1,0,20,3,65,2,14,8,0,9,2,2,6,5,8,1,0,12,1,45,3,7,5,4
"openai","ChatGPT",2795,40,"Adem_Şeker","Adem","Şeker","male","turkish","openai","gpt-4o-mini",268,92,9,20,6,6,9,10,234,5,5,10,55,1,0,13,2,41,4,26,1,0,6,2,2,6,1,11,1,0,5,1,61,1,12,5,3
"openai","ChatGPT",2860,40,"Adem_Şeker","Adem","Şeker","male","turkish","openai","gpt-4o-mini",213,84,3,17,5,2,5,10,195,6,6,13,29,1,0,18,2,50,1,5,3,3,12,3,3,11,5,10,1,0,10,1,37,2,14,4,2
"openai","ChatGPT",2927,40,"Adem_Şeker","Adem","Şeker","male","turkish","openai","gpt-4o-mini",236,75,5,14,5,2,7,10,205,5,5,9,44,1,0,16,3,59,1,8,1,0,6,4,4,4,1,11,1,0,19,1,29,3,5,4,3
"openai","ChatGPT",307,40,"Adem_Şeker","Adem","Şeker","male","turkish","openai","gpt-4o-mini",225,74,6,27,2,6,4,10,199,5,5,9,37,1,0,24,2,39,1,6,1,0,5,3,3,3,1,10,1,0,14,1,52,8,6,9,1
"openai","ChatGPT",3131,40,"Adem_Şeker","Adem","Şeker","male","turkish","openai","gpt-4o-mini",287,95,8,22,10,5,10,10,255,5,5,7,41,1,0,57,2,47,2,10,1,0,13,1,0,14,1,16,1,0,9,1,41,2,9,2,0
"openai","ChatGPT",377,40,"Adem_Şeker","Adem","Şeker","male","turkish","openai","gpt-4o-mini",253,97,5,23,3,4,8,10,231,6,6,12,40,1,0,17,3,61,3,19,8,0,10,3,3,3,6,12,1,0,14,1,43,6,9,5,1
"openai","ChatGPT",465,40,"Adem_Şeker","Adem","Şeker","male","turkish","openai","gpt-4o-mini",209,72,7,13,4,4,4,10,185,5,5,11,39,1,0,20,2,46,1,6,1,0,6,3,3,3,1,8,1,0,7,1,39,3,4,5,5
"openai","ChatGPT",528,40,"Adem_Şeker","Adem","Şeker","male","turkish","openai","gpt-4o-mini",242,69,7,24,5,4,5,10,198,5,5,7,43,1,0,20,2,38,2,15,1,0,7,4,4,8,1,6,1,0,10,1,44,6,3,3,2
"openai","ChatGPT",571,40,"Adem_Şeker","Adem","Şeker","male","turkish","openai","gpt-4o-mini",225,77,2,22,5,2,8,10,207,5,5,9,40,3,3,16,3,56,1,8,4,0,5,4,4,10,4,15,1,0,19,1,29,1,7,3,3
"openai","ChatGPT",6,40,"Adem_Şeker","Adem","Şeker","male","turkish","openai","gpt-4o-mini",155,45,7,11,4,4,3,10,137,5,5,10,34,1,0,7,1,11,1,6,3,0,5,2,2,6,4,7,1,0,17,1,34,5,4,6,3
"openai","ChatGPT",762,40,"Adem_Şeker","Adem","Şeker","male","turkish","openai","gpt-4o-mini",172,68,4,14,1,4,6,10,165,5,5,11,35,6,0,15,2,33,2,6,5,0,5,3,3,3,4,10,1,0,17,1,30,2,8,5,4
