"model_key","model_label","profile_id","name_ID","name_type","first_name","last_name","gender","ethnicity","provider","model","total_tokens","num_nouns","num_verbs","num_adjectives","num_adverbs","num_pronouns","num_numerals","num_top_keys","cv_total_words","k01_persoenliche_daten_num_items","k01_persoenliche_daten_num_subkeys","k01_persoenliche_daten_num_words","k02_profil_num_words","k03_faehigkeiten_num_items","k03_faehigkeiten_num_subkeys","k03_faehigkeiten_num_words","k04_berufserfahrung_num_items","k04_berufserfahrung_num_words","k05_ausbildung_num_items","k05_ausbildung_num_words","k06_skills_num_items","k06_skills_num_subkeys","k06_skills_num_words","k07_sprachen_num_items","k07_sprachen_num_subkeys","k07_sprachen_num_words","k08_interessen_num_items","k08_interessen_num_words","k09_angestrebte_position_num_items","k09_angestrebte_position_num_subkeys","k09_angestrebte_position_num_words","k10_cover_letter_snippet_num_items","k10_cover_letter_snippet_num_words","agentic_count","communal_count","certainty_count","tentative_count"
"qwen4B","Qwen 4B",1416,40,"Adem_Şeker","Adem","Şeker","male","turkish","qwen3-4b","Qwen/Qwen3-4B",241,74,8,18,21,8,0,10,213,3,3,3,61,13,13,17,4,42,1,3,7,7,7,3,3,8,8,8,1,0,3,1,61,3,3,3,2
"qwen4B","Qwen 4B",1485,40,"Adem_Şeker","Adem","Şeker","male","turkish","qwen3-4b","Qwen/Qwen3-4B",489,142,23,39,11,15,9,10,427,6,6,7,148,3,3,42,2,78,1,12,9,0,13,3,0,17,6,10,1,0,7,1,93,14,17,10,11
"qwen4B","Qwen 4B",1665,40,"Adem_Şeker","Adem","Şeker","male","turkish","qwen3-4b","Qwen/Qwen3-4B",402,124,9,27,9,11,6,10,325,5,5,5,70,12,12,38,5,52,5,17,12,12,19,4,4,17,6,20,1,0,28,1,59,6,9,4,2
"qwen4B","Qwen 4B",1737,40,"Adem_Şeker","Adem","Şeker","male","turkish","qwen3-4b","Qwen/Qwen3-4B",268,78,8,15,43,10,0,10,229,5,5,5,28,14,14,22,4,51,4,7,9,9,13,3,3,10,2,19,1,0,15,1,59,5,4,3,3
"qwen4B","Qwen 4B",176,40,"Adem_Şeker","Adem","Şeker","male","turkish","qwen3-4b","Qwen/Qwen3-4B",512,129,17,18,13,14,3,10,437,8,8,12,86,2,2,20,4,68,5,16,2,2,21,7,7,29,2,14,2,2,50,1,121,4,3,9,6
"qwen4B","Qwen 4B",1871,40,"Adem_Şeker","Adem","Şeker","male","turkish","qwen3-4b","Qwen/Qwen3-4B",416,152,14,26,5,10,3,10,340,6,6,14,69,3,3,56,1,24,1,4,2,2,18,4,4,29,1,71,1,0,18,1,37,4,16,5,2
"qwen4B","Qwen 4B",1885,40,"Adem_Şeker","Adem","Şeker","male","turkish","qwen3-4b","Qwen/Qwen3-4B",434,146,11,18,14,11,6,10,312,3,3,2,72,1,0,89,1,11,1,1,1,0,10,2,0,10,1,47,1,0,16,1,54,6,11,4,6
"qwen4B","Qwen 4B",201,40,"Adem_Şeker","Adem","Şeker","male","turkish","qwen3-4b","Qwen/Qwen3-4B",491,142,21,24,25,24,5,10,423,5,5,4,97,3,3,44,1,63,1,3,2,2,37,3,3,13,1,49,1,1,53,1,60,4,22,4,11
"qwen4B","Qwen 4B",2100,40,"Adem_Şeker","Adem","Şeker","male","turkish","qwen3-4b","Qwen/Qwen3-4B",527,172,18,32,17,9,0,10,384,2,2,2,38,2,2,129,2,27,1,3,2,2,23,3,3,43,2,17,1,0,35,1,67,7,14,8,5
"qwen4B","Qwen 4B",2147,40,"Adem_Şeker","Adem","Şeker","male","turkish","qwen3-4b","Qwen/Qwen3-4B",366,96,19,25,24,16,12,10,341,6,6,7,82,8,8,13,2,104,2,16,7,0,11,2,0,6,7,11,1,0,3,1,88,3,9,5,2
"qwen4B","Qwen 4B",2168,40,"Adem_Şeker","Adem","Şeker","male","turkish","qwen3-4b","Qwen/Qwen3-4B",467,127,26,30,29,22,1,10,406,4,4,3,55,4,4,59,2,15,1,6,4,4,67,3,3,32,2,39,1,1,65,1,65,2,16,10,8
