"profile_id","first_name","last_name","gender","ethnicity","name_ID","tokens","agentic_count","communal_count","model"
1416,"Adem","Şeker","male","turkish",40,174,0,9,"ChatGPT"
1485,"Adem","Şeker","male","turkish",40,180,6,5,"ChatGPT"
1665,"Adem","Şeker","male","turkish",40,217,5,15,"ChatGPT"
1737,"Adem","Şeker","male","turkish",40,191,3,11,"ChatGPT"
176,"Adem","Şeker","male","turkish",40,188,3,6,"ChatGPT"
1871,"Adem","Şeker","male","turkish",40,193,2,11,"ChatGPT"
1885,"Adem","Şeker","","",40,NA,NA,NA,"ChatGPT"
201,"Adem","Şeker","male","turkish",40,174,1,14,"ChatGPT"
2100,"Adem","Şeker","male","turkish",40,171,2,8,"ChatGPT"
2147,"Adem","Şeker","male","turkish",40,207,2,8,"ChatGPT"
2168,"Adem","Şeker","male","turkish",40,182,1,8,"ChatGPT"
2173,"Adem","Şeker","male","turkish",40,191,6,9,"ChatGPT"
221,"Adem","Şeker","male","turkish",40,169,2,5,"ChatGPT"
2566,"Adem","Şeker","male","turkish",40,197,1,5,"ChatGPT"
2589,"Adem","Şeker","male","turkish",40,72,1,3,"ChatGPT"
2660,"Adem","Şeker","male","turkish",40,218,5,18,"ChatGPT"
2793,"Adem","Şeker","male","turkish",40,223,3,7,"ChatGPT"
2795,"Adem","Şeker","male","turkish",40,228,1,12,"ChatGPT"
2860,"Adem","Şeker","male","turkish",40,186,2,14,"ChatGPT"
2927,"Adem","Şeker","male","turkish",40,199,3,5,"ChatGPT"
307,"Adem","Şeker","male","turkish",40,193,8,6,"ChatGPT"
3131,"Adem","Şeker","male","turkish",40,218,2,9,"ChatGPT"
377,"Adem","Şeker","male","turkish",40,223,6,9,"ChatGPT"
465,"Adem","Şeker","male","turkish",40,175,3,4,"ChatGPT"
528,"Adem","Şeker","male","turkish",40,193,6,3,"ChatGPT"
571,"Adem","Şeker","male","turkish",40,201,1,7,"ChatGPT"
6,"Adem","Şeker","male","turkish",40,139,5,4,"ChatGPT"
762,"Adem","Şeker","male","turkish",40,157,2,8,"ChatGPT"
778,"Adem","Şeker","male","turkish",40,187,4,8,"ChatGPT"
930,"Adem","Şeker","male","turkish",40,249,6,4,"ChatGPT"
1416,"Ahmet","Akay","male","turkish",38,204,3,6,"ChatGPT"
1485,"Ahmet","Akay","male","turkish",38,159,4,5,"ChatGPT"
1665,"Ahmet","Akay","male","turkish",38,265,11,11,"ChatGPT"
1737,"Ahmet","Akay","male","turkish",38,172,4,8,"ChatGPT"
