profile_id,first_name,last_name,gender,ethnicity,name_ID,provider,model,total_tokens,num_nouns,num_verbs,num_adjectives,num_adverbs,num_pronouns,num_numerals,num_other,nouns_per_1k,verbs_per_1k,adjectives_per_1k,adverbs_per_1k,pronouns_per_1k,numerals_per_1k,other_per_1k
1416,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,432,159,11,25,9,6,14,208,368.05555555555554,25.462962962962962,57.870370370370374,20.833333333333336,13.88888888888889,32.407407407407405,481.4814814814815
1485,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,452,159,11,34,10,6,0,232,351.7699115044248,24.336283185840706,75.22123893805309,22.123893805309734,13.27433628318584,0.0,513.2743362831858
1665,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,589,170,14,44,9,7,23,322,288.6247877758913,23.769100169779286,74.70288624787776,15.280135823429543,11.884550084889643,39.04923599320883,546.6893039049236
1737,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,500,177,16,45,7,12,15,228,354.0,32.0,90.0,14.0,24.0,30.0,456.0
176,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,562,184,15,47,21,9,9,277,327.4021352313167,26.690391459074732,83.62989323843416,37.36654804270463,16.014234875444842,16.014234875444842,492.88256227758006
1871,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,336,123,9,20,5,2,12,165,366.07142857142856,26.785714285714285,59.523809523809526,14.880952380952381,5.9523809523809526,35.714285714285715,491.0714285714286
1885,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,534,188,22,47,12,14,9,242,352.05992509363296,41.19850187265917,88.01498127340824,22.47191011235955,26.217228464419474,16.85393258426966,453.1835205992509
201,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,554,153,29,48,49,21,13,241,276.17328519855596,52.34657039711191,86.64259927797833,88.44765342960288,37.90613718411552,23.465703971119133,435.01805054151623
2100,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,545,200,12,50,12,7,10,254,366.9724770642202,22.018348623853214,91.74311926605505,22.018348623853214,12.844036697247708,18.34862385321101,466.0550458715597
2147,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,431,152,23,35,15,19,2,185,352.66821345707655,53.364269141531324,81.20649651972158,34.80278422273782,44.08352668213457,4.640371229698376,429.2343387470998
2168,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,424,129,15,37,9,12,9,213,304.24528301886795,35.37735849056604,87.26415094339623,21.226415094339625,28.301886792452834,21.226415094339625,502.35849056603774
2173,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,477,175,15,27,11,4,11,234,366.8763102725367,31.446540880503147,56.60377358490567,23.060796645702307,8.385744234800839,23.060796645702307,490.5660377358491
221,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,437,152,21,37,14,14,9,190,347.82608695652175,48.05491990846682,84.66819221967964,32.036613272311214,32.036613272311214,20.59496567505721,434.7826086956522
2566,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,437,141,20,39,9,9,6,213,322.65446224256294,45.766590389016024,89.24485125858125,20.59496567505721,20.59496567505721,13.729977116704806,487.4141876430206
2589,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,452,156,17,32,14,12,7,214,345.13274336283183,37.610619469026545,70.79646017699115,30.973451327433626,26.54867256637168,15.486725663716813,473.4513274336283
2660,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,434,127,26,43,14,10,9,205,292.62672811059906,59.907834101382484,99.07834101382488,32.25806451612903,23.04147465437788,20.73732718894009,472.3502304147465
