profile_id,first_name,last_name,gender,ethnicity,name_ID,provider,model,total_tokens,num_nouns,num_verbs,num_adjectives,num_adverbs,num_pronouns,num_numerals,num_other,nouns_per_1k,verbs_per_1k,adjectives_per_1k,adverbs_per_1k,pronouns_per_1k,numerals_per_1k,other_per_1k
1416,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,188,72,7,9,5,5,7,83,382.97872340425533,37.234042553191486,47.87234042553192,26.595744680851062,26.595744680851062,37.234042553191486,441.48936170212767
1485,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,187,72,9,12,7,7,4,76,385.0267379679144,48.1283422459893,64.1711229946524,37.43315508021391,37.43315508021391,21.390374331550802,406.41711229946526
1665,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,240,87,2,24,2,2,7,116,362.5,8.333333333333334,100.0,8.333333333333334,8.333333333333334,29.166666666666668,483.33333333333337
1737,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,223,82,7,24,1,3,7,99,367.7130044843049,31.39013452914798,107.62331838565021,4.484304932735426,13.452914798206276,31.39013452914798,443.9461883408071
176,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,231,74,3,18,4,4,12,116,320.34632034632034,12.987012987012987,77.92207792207792,17.316017316017316,17.316017316017316,51.94805194805195,502.16450216450215
1871,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,250,85,8,15,5,4,6,127,340.0,32.0,60.0,20.0,16.0,24.0,508.0
1885,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,224,77,7,12,3,8,3,114,343.75,31.25,53.57142857142857,13.392857142857142,35.714285714285715,13.392857142857142,508.92857142857144
201,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,215,74,5,17,7,4,9,99,344.1860465116279,23.255813953488374,79.06976744186046,32.55813953488372,18.6046511627907,41.86046511627907,460.4651162790698
2100,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,207,77,7,12,3,5,6,97,371.98067632850245,33.81642512077295,57.971014492753625,14.492753623188406,24.154589371980677,28.985507246376812,468.59903381642516
2147,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,246,88,5,23,3,3,6,118,357.7235772357724,20.325203252032523,93.4959349593496,12.195121951219512,12.195121951219512,24.390243902439025,479.67479674796755
2168,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,208,72,6,20,5,4,7,94,346.15384615384613,28.846153846153847,96.15384615384615,24.038461538461537,19.23076923076923,33.65384615384615,451.9230769230769
2173,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,232,88,5,18,3,3,13,102,379.3103448275862,21.551724137931036,77.58620689655173,12.931034482758623,12.931034482758623,56.0344827586207,439.65517241379314
221,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,180,67,5,16,5,3,4,80,372.22222222222223,27.77777777777778,88.88888888888889,27.77777777777778,16.666666666666664,22.22222222222222,444.44444444444446
2566,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,229,76,6,20,4,3,11,109,331.87772925764193,26.200873362445417,87.33624454148472,17.467248908296945,13.100436681222709,48.0349344978166,475.98253275109175
2589,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,67,18,1,8,1,2,0,37,268.65671641791045,14.925373134328359,119.40298507462687,14.925373134328359,29.850746268656717,0.0,552.2388059701493
2660,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,238,89,10,24,4,8,6,97,373.9495798319328,42.016806722689076,100.84033613445379,16.80672268907563,33.61344537815126,25.210084033613448,407.56302521008405
2793,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,263,93,7,20,7,4,10,122,353.61216730038024,26.61596958174905,76.04562737642586,26.61596958174905,15.209125475285171,38.02281368821293,463.87832699619776
2795,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,268,92,9,20,6,6,9,126,343.2835820895522,33.582089552238806,74.6268656716418,22.388059701492537,22.388059701492537,33.582089552238806,470.1492537313433
2860,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,213,84,3,17,5,2,5,97,394.3661971830986,14.084507042253522,79.81220657276995,23.47417840375587,9.389671361502348,23.47417840375587,455.39906103286387
2927,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,236,75,5,14,5,2,7,128,317.79661016949154,21.186440677966104,59.32203389830509,21.186440677966104,8.474576271186441,29.661016949152543,542.3728813559322
307,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,225,74,6,27,2,6,4,106,328.8888888888889,26.666666666666668,120.0,8.88888888888889,26.666666666666668,17.77777777777778,471.11111111111114
3131,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,287,95,8,22,10,5,10,137,331.01045296167246,27.874564459930312,76.65505226480836,34.843205574912886,17.421602787456443,34.843205574912886,477.3519163763066
377,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,253,97,5,23,3,4,8,113,383.399209486166,19.76284584980237,90.9090909090909,11.857707509881422,15.810276679841897,31.620553359683793,446.64031620553357
465,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,209,72,7,13,4,4,4,105,344.4976076555024,33.49282296650718,62.20095693779904,19.138755980861244,19.138755980861244,19.138755980861244,502.39234449760767
528,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,242,69,7,24,5,4,5,128,285.12396694214874,28.92561983471074,99.17355371900825,20.661157024793386,16.52892561983471,20.661157024793386,528.9256198347107
571,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,225,77,2,22,5,2,8,109,342.22222222222223,8.88888888888889,97.77777777777779,22.22222222222222,8.88888888888889,35.55555555555556,484.44444444444446
6,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,155,45,7,11,4,4,3,81,290.3225806451613,45.16129032258064,70.96774193548387,25.806451612903224,25.806451612903224,19.354838709677416,522.5806451612902
762,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,172,68,4,14,1,4,6,75,395.3488372093023,23.25581395348837,81.3953488372093,5.813953488372093,23.25581395348837,34.883720930232556,436.04651162790697
778,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,218,79,5,12,7,4,9,102,362.38532110091745,22.93577981651376,55.04587155963303,32.11009174311927,18.34862385321101,41.28440366972477,467.88990825688074
930,Adem,Şeker,male,turkish,40,openai,gpt-4o-mini,308,102,6,25,5,2,16,152,331.16883116883116,19.48051948051948,81.16883116883116,16.233766233766232,6.4935064935064934,51.94805194805195,493.5064935064935
1416,Ahmet,Akay,male,turkish,38,openai,gpt-4o-mini,244,81,8,19,9,5,7,115,331.9672131147541,32.78688524590164,77.86885245901638,36.885245901639344,20.491803278688522,28.688524590163933,471.311475409836
1485,Ahmet,Akay,male,turkish,38,openai,gpt-4o-mini,188,63,6,12,10,6,6,85,335.1063829787234,31.914893617021278,63.829787234042556,53.191489361702125,31.914893617021278,31.914893617021278,452.12765957446805
1665,Ahmet,Akay,male,turkish,38,openai,gpt-4o-mini,315,99,8,25,6,5,16,156,314.2857142857143,25.396825396825395,79.36507936507937,19.047619047619047,15.873015873015872,50.79365079365079,495.2380952380952
1737,Ahmet,Akay,male,turkish,38,openai,gpt-4o-mini,211,82,5,19,3,2,7,93,388.6255924170616,23.696682464454977,90.04739336492891,14.218009478672986,9.47867298578199,33.175355450236964,440.7582938388626
176,Ahmet,Akay,male,turkish,38,openai,gpt-4o-mini,219,80,4,22,3,1,7,102,365.29680365296804,18.264840182648403,100.45662100456622,13.698630136986303,4.566210045662101,31.963470319634705,465.75342465753425
1871,Ahmet,Akay,male,turkish,38,openai,gpt-4o-mini,229,95,6,11,2,5,8,102,414.8471615720524,26.200873362445417,48.0349344978166,8.733624454148472,21.83406113537118,34.93449781659389,445.4148471615721
1885,Ahmet,Akay,male,turkish,38,openai,gpt-4o-mini,229,82,6,19,3,5,3,111,358.0786026200874,26.200873362445417,82.96943231441048,13.100436681222709,21.83406113537118,13.100436681222709,484.7161572052402
201,Ahmet,Akay,male,turkish,38,openai,gpt-4o-mini,194,72,7,13,2,6,8,86,371.13402061855675,36.08247422680412,67.01030927835052,10.309278350515465,30.927835051546396,41.23711340206186,443.298969072165
2100,Ahmet,Akay,male,turkish,38,openai,gpt-4o-mini,191,77,3,13,3,2,7,86,403.1413612565445,15.706806282722512,68.06282722513089,15.706806282722512,10.471204188481675,36.64921465968586,450.26178010471205
2147,Ahmet,Akay,male,turkish,38,openai,gpt-4o-mini,209,75,11,14,8,5,12,84,358.85167464114835,52.631578947368425,66.98564593301435,38.27751196172249,23.923444976076556,57.41626794258373,401.9138755980861
2168,Ahmet,Akay,male,turkish,38,openai,gpt-4o-mini,201,70,5,14,7,5,8,92,348.2587064676617,24.87562189054726,69.65174129353233,34.82587064676616,24.87562189054726,39.80099502487562,457.7114427860696
2173,Ahmet,Akay,male,turkish,38,openai,gpt-4o-mini,259,99,6,21,5,3,7,118,382.2393822393822,23.166023166023166,81.08108108108108,19.305019305019304,11.583011583011583,27.027027027027025,455.5984555984556
221,Ahmet,Akay,male,turkish,38,openai,gpt-4o-mini,256,92,4,21,5,5,7,122,359.375,15.625,82.03125,19.53125,19.53125,27.34375,476.5625
2566,Ahmet,Akay,male,turkish,38,openai,gpt-4o-mini,201,68,7,17,3,3,6,97,338.30845771144277,34.82587064676616,84.57711442786069,14.925373134328357,14.925373134328357,29.850746268656714,482.5870646766169
2589,Ahmet,Akay,male,turkish,38,openai,gpt-4o-mini,219,82,4,17,1,4,7,104,374.42922374429224,18.264840182648403,77.62557077625571,4.566210045662101,18.264840182648403,31.963470319634705,474.88584474885846
2660,Ahmet,Akay,male,turkish,38,openai,gpt-4o-mini,215,76,8,22,4,7,6,92,353.48837209302326,37.2093023255814,102.32558139534885,18.6046511627907,32.55813953488372,27.906976744186046,427.90697674418607
2793,Ahmet,Akay,male,turkish,38,openai,gpt-4o-mini,232,76,7,17,4,5,7,116,327.58620689655174,30.172413793103452,73.27586206896552,17.24137931034483,21.551724137931036,30.172413793103452,500.00000000000006
2795,Ahmet,Akay,male,turkish,38,openai,gpt-4o-mini,233,81,2,16,4,2,7,121,347.63948497854074,8.583690987124463,68.6695278969957,17.167381974248926,8.583690987124463,30.04291845493562,519.31330472103
2860,Ahmet,Akay,male,turkish,38,openai,gpt-4o-mini,279,103,6,19,5,4,12,130,369.1756272401434,21.505376344086024,68.10035842293907,17.921146953405017,14.336917562724015,43.01075268817205,465.9498207885305
2927,Ahmet,Akay,male,turkish,38,openai,gpt-4o-mini,244,73,8,29,6,6,9,113,299.18032786885243,32.78688524590164,118.85245901639344,24.59016393442623,24.59016393442623,36.885245901639344,463.1147540983606
307,Ahmet,Akay,male,turkish,38,openai,gpt-4o-mini,196,71,9,14,1,7,5,89,362.2448979591837,45.91836734693877,71.42857142857143,5.1020408163265305,35.714285714285715,25.51020408163265,454.0816326530612
3131,Ahmet,Akay,male,turkish,38,openai,gpt-4o-mini,214,73,4,13,3,4,9,108,341.1214953271028,18.69158878504673,60.74766355140187,14.018691588785046,18.69158878504673,42.05607476635514,504.6728971962617
377,Ahmet,Akay,male,turkish,38,openai,gpt-4o-mini,209,79,7,17,2,3,8,93,377.99043062200957,33.49282296650718,81.33971291866028,9.569377990430622,14.354066985645932,38.27751196172249,444.97607655502395
465,Ahmet,Akay,male,turkish,38,openai,gpt-4o-mini,197,62,7,20,6,5,7,90,314.7208121827411,35.53299492385787,101.5228426395939,30.456852791878173,25.380710659898476,35.53299492385787,456.8527918781726
528,Ahmet,Akay,male,turkish,38,openai,gpt-4o-mini,279,86,7,31,5,2,8,140,308.2437275985663,25.089605734767026,111.11111111111111,17.921146953405017,7.168458781362007,28.67383512544803,501.7921146953405
571,Ahmet,Akay,male,turkish,38,openai,gpt-4o-mini,175,58,5,13,9,5,4,81,331.42857142857144,28.571428571428573,74.28571428571429,51.42857142857143,28.571428571428573,22.857142857142858,462.8571428571429
6,Ahmet,Akay,male,turkish,38,openai,gpt-4o-mini,206,61,9,18,3,4,0,111,296.1165048543689,43.689320388349515,87.37864077669903,14.563106796116504,19.41747572815534,0.0,538.8349514563106
762,Ahmet,Akay,male,turkish,38,openai,gpt-4o-mini,220,75,7,14,3,3,7,111,340.90909090909093,31.81818181818182,63.63636363636364,13.636363636363637,13.636363636363637,31.81818181818182,504.5454545454546
778,Ahmet,Akay,male,turkish,38,openai,gpt-4o-mini,205,74,5,18,3,5,5,95,360.9756097560975,24.390243902439025,87.80487804878048,14.634146341463413,24.390243902439025,24.390243902439025,463.4146341463414
930,Ahmet,Akay,male,turkish,38,openai,gpt-4o-mini,262,83,8,29,8,5,6,123,316.793893129771,30.53435114503817,110.68702290076337,30.53435114503817,19.083969465648856,22.900763358778626,469.46564885496184
1416,Angelika,Kohl,female,german,19,openai,gpt-4o-mini,204,68,3,17,8,7,9,92,333.33333333333337,14.705882352941178,83.33333333333334,39.21568627450981,34.31372549019608,44.117647058823536,450.98039215686276
1485,Angelika,Kohl,female,german,19,openai,gpt-4o-mini,187,69,4,12,3,1,6,92,368.98395721925135,21.390374331550802,64.1711229946524,16.0427807486631,5.347593582887701,32.0855614973262,491.97860962566847
1665,Angelika,Kohl,female,german,19,openai,gpt-4o-mini,245,80,5,21,2,3,9,125,326.53061224489795,20.408163265306122,85.71428571428572,8.16326530612245,12.244897959183675,36.734693877551024,510.2040816326531
1737,Angelika,Kohl,female,german,19,openai,gpt-4o-mini,209,76,5,20,6,4,7,91,363.6363636363636,23.923444976076556,95.69377990430623,28.708133971291865,19.138755980861244,33.49282296650718,435.4066985645933
176,Angelika,Kohl,female,german,19,openai,gpt-4o-mini,260,77,6,29,6,4,4,134,296.1538461538462,23.076923076923077,111.53846153846155,23.076923076923077,15.384615384615385,15.384615384615385,515.3846153846154
1871,Angelika,Kohl,female,german,19,openai,gpt-4o-mini,229,81,7,15,5,4,9,108,353.71179039301313,30.567685589519655,65.50218340611355,21.83406113537118,17.467248908296945,39.301310043668124,471.6157205240175
1885,Angelika,Kohl,female,german,19,openai,gpt-4o-mini,205,70,7,14,7,6,7,94,341.4634146341463,34.146341463414636,68.29268292682927,34.146341463414636,29.268292682926827,34.146341463414636,458.5365853658536
201,Angelika,Kohl,female,german,19,openai,gpt-4o-mini,198,74,5,21,6,4,6,82,373.73737373737373,25.252525252525253,106.06060606060605,30.3030303030303,20.2020202020202,30.3030303030303,414.1414141414141
2100,Angelika,Kohl,female,german,19,openai,gpt-4o-mini,200,81,4,18,1,7,5,84,405.0,20.0,90.0,5.0,35.0,25.0,420.0
2147,Angelika,Kohl,female,german,19,openai,gpt-4o-mini,229,85,8,12,3,6,7,108,371.17903930131007,34.93449781659389,52.401746724890835,13.100436681222709,26.200873362445417,30.567685589519655,471.6157205240175
2168,Angelika,Kohl,female,german,19,openai,gpt-4o-mini,193,68,5,14,4,4,13,85,352.3316062176166,25.906735751295336,72.53886010362694,20.72538860103627,20.72538860103627,67.35751295336787,440.4145077720207
2173,Angelika,Kohl,female,german,19,openai,gpt-4o-mini,260,91,8,13,6,6,9,127,350.0,30.76923076923077,50.0,23.076923076923077,23.076923076923077,34.61538461538461,488.46153846153845
221,Angelika,Kohl,female,german,19,openai,gpt-4o-mini,265,90,8,24,5,5,9,124,339.62264150943395,30.18867924528302,90.56603773584905,18.867924528301888,18.867924528301888,33.9622641509434,467.9245283018868
2566,Angelika,Kohl,female,german,19,openai,gpt-4o-mini,218,63,5,16,6,4,5,119,288.9908256880734,22.93577981651376,73.39449541284404,27.522935779816514,18.34862385321101,22.93577981651376,545.8715596330276
2589,Angelika,Kohl,female,german,19,openai,gpt-4o-mini,261,88,6,23,1,3,6,134,337.1647509578544,22.988505747126435,88.12260536398468,3.8314176245210727,11.494252873563218,22.988505747126435,513.4099616858238
2660,Angelika,Kohl,female,german,19,openai,gpt-4o-mini,215,77,5,17,3,5,8,100,358.13953488372096,23.255813953488374,79.06976744186046,13.953488372093023,23.255813953488374,37.2093023255814,465.1162790697675
2793,Angelika,Kohl,female,german,19,openai,gpt-4o-mini,215,87,4,15,3,3,9,94,404.6511627906977,18.6046511627907,69.76744186046513,13.953488372093023,13.953488372093023,41.86046511627907,437.2093023255814
2795,Angelika,Kohl,female,german,19,openai,gpt-4o-mini,225,75,5,23,3,3,7,109,333.33333333333337,22.22222222222222,102.22222222222223,13.333333333333334,13.333333333333334,31.111111111111114,484.44444444444446
2860,Angelika,Kohl,female,german,19,openai,gpt-4o-mini,271,98,5,20,3,2,13,130,361.6236162361624,18.45018450184502,73.80073800738008,11.070110701107012,7.380073800738008,47.97047970479705,479.7047970479705
2927,Angelika,Kohl,female,german,19,openai,gpt-4o-mini,216,66,3,16,5,3,7,116,305.55555555555554,13.88888888888889,74.07407407407408,23.14814814814815,13.88888888888889,32.407407407407405,537.0370370370371
307,Angelika,Kohl,female,german,19,openai,gpt-4o-mini,247,93,4,20,4,5,8,113,376.5182186234818,16.194331983805668,80.97165991902834,16.194331983805668,20.242914979757085,32.388663967611336,457.4898785425101
