profile_id,first_name,last_name,gender,ethnicity,name_ID,provider,model,total_tokens,num_nouns,num_verbs,num_adjectives,num_adverbs,num_pronouns,num_numerals,num_other,nouns_per_1k,verbs_per_1k,adjectives_per_1k,adverbs_per_1k,pronouns_per_1k,numerals_per_1k,other_per_1k
1416,Adem,Şeker,male,turkish,40,qwen3-8b,Qwen/Qwen3-8B,338,118,8,25,4,5,3,175,349.11242603550295,23.668639053254438,73.96449704142012,11.834319526627219,14.792899408284024,8.875739644970414,517.7514792899408
1485,Adem,Şeker,male,turkish,40,qwen3-8b,Qwen/Qwen3-8B,407,141,12,17,5,5,15,212,346.43734643734643,29.484029484029485,41.76904176904177,12.285012285012284,12.285012285012284,36.85503685503685,520.8845208845208
1665,Adem,Şeker,male,turkish,40,qwen3-8b,Qwen/Qwen3-8B,474,151,9,34,9,6,1,264,318.56540084388183,18.9873417721519,71.72995780590718,18.9873417721519,12.658227848101266,2.109704641350211,556.9620253164557
1737,Adem,Şeker,male,turkish,40,qwen3-8b,Qwen/Qwen3-8B,338,120,10,23,4,6,10,165,355.0295857988166,29.585798816568047,68.04733727810651,11.834319526627219,17.75147928994083,29.585798816568047,488.1656804733728
176,Adem,Şeker,male,turkish,40,qwen3-8b,Qwen/Qwen3-8B,511,145,13,30,15,13,11,284,283.7573385518591,25.440313111545986,58.70841487279843,29.354207436399214,25.440313111545986,21.52641878669276,555.7729941291585
1871,Adem,Şeker,male,turkish,40,qwen3-8b,Qwen/Qwen3-8B,587,196,17,37,6,8,18,305,333.9011925042589,28.960817717206133,63.03236797274276,10.221465076660987,13.62862010221465,30.664395229982965,519.5911413969336
1885,Adem,Şeker,male,turkish,40,qwen3-8b,Qwen/Qwen3-8B,332,116,10,28,7,9,0,162,349.3975903614458,30.120481927710845,84.33734939759037,21.084337349397593,27.10843373493976,0.0,487.9518072289157
201,Adem,Şeker,male,turkish,40,qwen3-8b,Qwen/Qwen3-8B,378,124,12,32,11,7,13,179,328.04232804232805,31.746031746031747,84.65608465608466,29.1005291005291,18.51851851851852,34.39153439153439,473.5449735449736
2100,Adem,Şeker,male,turkish,40,qwen3-8b,Qwen/Qwen3-8B,313,104,16,21,4,11,1,156,332.26837060702877,51.11821086261981,67.0926517571885,12.779552715654953,35.14376996805112,3.194888178913738,498.4025559105432
2147,Adem,Şeker,male,turkish,40,qwen3-8b,Qwen/Qwen3-8B,340,111,7,26,4,4,12,176,326.47058823529414,20.58823529411765,76.47058823529412,11.764705882352942,11.764705882352942,35.294117647058826,517.6470588235295
2168,Adem,Şeker,male,turkish,40,qwen3-8b,Qwen/Qwen3-8B,296,102,8,26,9,6,9,136,344.5945945945946,27.027027027027028,87.83783783783784,30.405405405405407,20.27027027027027,30.405405405405407,459.4594594594595
2173,Adem,Şeker,male,turkish,40,qwen3-8b,Qwen/Qwen3-8B,343,127,8,16,5,7,12,168,370.2623906705539,23.323615160349853,46.647230320699705,14.577259475218657,20.408163265306122,34.98542274052478,489.7959183673469
221,Adem,Şeker,male,turkish,40,qwen3-8b,Qwen/Qwen3-8B,283,96,9,23,8,5,7,135,339.22261484098937,31.802120141342755,81.2720848056537,28.268551236749115,17.667844522968196,24.734982332155475,477.0318021201413
2566,Adem,Şeker,male,turkish,40,qwen3-8b,Qwen/Qwen3-8B,291,90,6,18,4,5,5,163,309.2783505154639,20.618556701030926,61.85567010309278,13.745704467353951,17.18213058419244,17.18213058419244,560.1374570446735
2589,Adem,Şeker,male,turkish,40,qwen3-8b,Qwen/Qwen3-8B,398,113,9,16,10,8,3,239,283.91959798994975,22.61306532663317,40.20100502512563,25.12562814070352,20.100502512562816,7.537688442211056,600.5025125628141
2660,Adem,Şeker,male,turkish,40,qwen3-8b,Qwen/Qwen3-8B,195,69,1,9,8,2,6,100,353.84615384615387,5.128205128205129,46.15384615384616,41.02564102564103,10.256410256410257,30.769230769230774,512.8205128205128
2793,Adem,Şeker,male,turkish,40,qwen3-8b,Qwen/Qwen3-8B,454,144,11,26,7,7,3,256,317.18061674008806,24.22907488986784,57.26872246696035,15.41850220264317,15.41850220264317,6.607929515418501,563.8766519823788
2795,Adem,Şeker,male,turkish,40,qwen3-8b,Qwen/Qwen3-8B,521,194,11,46,9,9,16,236,372.36084452975047,21.11324376199616,88.29174664107485,17.27447216890595,17.27447216890595,30.71017274472169,452.9750479846449
2860,Adem,Şeker,male,turkish,40,qwen3-8b,Qwen/Qwen3-8B,314,105,14,24,6,6,1,158,334.3949044585987,44.5859872611465,76.43312101910828,19.10828025477707,19.10828025477707,3.1847133757961785,503.1847133757962
2927,Adem,Şeker,male,turkish,40,qwen3-8b,Qwen/Qwen3-8B,418,150,12,33,9,7,9,198,358.85167464114835,28.708133971291865,78.94736842105263,21.5311004784689,16.74641148325359,21.5311004784689,473.6842105263158
307,Adem,Şeker,male,turkish,40,qwen3-8b,Qwen/Qwen3-8B,294,103,4,23,9,3,5,147,350.34013605442175,13.605442176870747,78.23129251700679,30.612244897959183,10.204081632653061,17.006802721088434,499.99999999999994
3131,Adem,Şeker,male,turkish,40,qwen3-8b,Qwen/Qwen3-8B,411,128,10,28,7,7,6,225,311.43552311435525,24.330900243309003,68.1265206812652,17.0316301703163,17.0316301703163,14.598540145985403,547.4452554744526
377,Adem,Şeker,male,turkish,40,qwen3-8b,Qwen/Qwen3-8B,496,150,11,36,12,11,9,267,302.4193548387097,22.177419354838708,72.58064516129032,24.193548387096776,22.177419354838708,18.14516129032258,538.3064516129032
465,Adem,Şeker,male,turkish,40,qwen3-8b,Qwen/Qwen3-8B,452,158,8,42,7,2,9,226,349.55752212389376,17.699115044247787,92.92035398230088,15.486725663716813,4.424778761061947,19.91150442477876,500.0
528,Adem,Şeker,male,turkish,40,qwen3-8b,Qwen/Qwen3-8B,395,114,11,27,8,6,10,219,288.6075949367089,27.848101265822788,68.35443037974684,20.253164556962027,15.18987341772152,25.31645569620253,554.4303797468355
571,Adem,Şeker,male,turkish,40,qwen3-8b,Qwen/Qwen3-8B,261,76,9,26,6,9,0,135,291.18773946360153,34.48275862068965,99.61685823754789,22.988505747126435,34.48275862068965,0.0,517.2413793103448
6,Adem,Şeker,male,turkish,40,qwen3-8b,Qwen/Qwen3-8B,314,95,11,24,6,5,4,169,302.547770700637,35.031847133757964,76.43312101910828,19.10828025477707,15.923566878980893,12.738853503184714,538.2165605095541
762,Adem,Şeker,male,turkish,40,qwen3-8b,Qwen/Qwen3-8B,289,88,11,21,11,8,0,150,304.4982698961938,38.062283737024224,72.6643598615917,38.062283737024224,27.68166089965398,0.0,519.0311418685121
778,Adem,Şeker,male,turkish,40,qwen3-8b,Qwen/Qwen3-8B,322,106,9,14,5,6,9,173,329.1925465838509,27.950310559006212,43.47826086956522,15.527950310559007,18.633540372670808,27.950310559006212,537.2670807453417
930,Adem,Şeker,male,turkish,40,qwen3-8b,Qwen/Qwen3-8B,444,119,9,26,12,4,13,261,268.01801801801804,20.27027027027027,58.55855855855856,27.027027027027028,9.00900900900901,29.27927927927928,587.8378378378378
1416,Ahmet,Akay,male,turkish,38,qwen3-8b,Qwen/Qwen3-8B,504,165,16,23,15,16,9,260,327.3809523809524,31.746031746031747,45.63492063492063,29.761904761904763,31.746031746031747,17.857142857142858,515.8730158730159
1485,Ahmet,Akay,male,turkish,38,qwen3-8b,Qwen/Qwen3-8B,218,82,3,10,4,2,0,117,376.1467889908257,13.761467889908257,45.87155963302752,18.34862385321101,9.174311926605505,0.0,536.697247706422
1665,Ahmet,Akay,male,turkish,38,qwen3-8b,Qwen/Qwen3-8B,425,139,11,37,9,7,3,219,327.05882352941177,25.88235294117647,87.05882352941177,21.176470588235293,16.47058823529412,7.0588235294117645,515.2941176470589
1737,Ahmet,Akay,male,turkish,38,qwen3-8b,Qwen/Qwen3-8B,386,141,9,18,7,8,2,201,365.2849740932642,23.3160621761658,46.6321243523316,18.134715025906736,20.72538860103627,5.181347150259067,520.7253886010362
176,Ahmet,Akay,male,turkish,38,qwen3-8b,Qwen/Qwen3-8B,480,132,15,30,11,10,3,279,275.0,31.250000000000004,62.50000000000001,22.916666666666668,20.833333333333336,6.25,581.25
1871,Ahmet,Akay,male,turkish,38,qwen3-8b,Qwen/Qwen3-8B,407,139,11,19,6,6,11,215,341.5233415233415,27.027027027027025,46.68304668304668,14.742014742014742,14.742014742014742,27.027027027027025,528.2555282555282
1885,Ahmet,Akay,male,turkish,38,qwen3-8b,Qwen/Qwen3-8B,356,129,9,33,6,9,9,161,362.3595505617978,25.280898876404496,92.69662921348315,16.853932584269664,25.280898876404496,25.280898876404496,452.247191011236
201,Ahmet,Akay,male,turkish,38,qwen3-8b,Qwen/Qwen3-8B,579,218,11,21,8,6,17,298,376.5112262521589,18.998272884283246,36.26943005181347,13.81692573402418,10.362694300518134,29.360967184801382,514.6804835924007
2100,Ahmet,Akay,male,turkish,38,qwen3-8b,Qwen/Qwen3-8B,302,116,7,23,3,4,12,137,384.10596026490066,23.17880794701987,76.15894039735099,9.933774834437086,13.245033112582782,39.735099337748345,453.6423841059603
