profile_id,first_name,last_name,gender,ethnicity,name_ID,provider,model,num_top_keys,cv_total_words,k01_persoenliche_daten_num_items,k01_persoenliche_daten_num_subkeys,k01_persoenliche_daten_num_words,k02_profil_num_items,k02_profil_num_subkeys,k02_profil_num_words,k03_faehigkeiten_num_items,k03_faehigkeiten_num_subkeys,k03_faehigkeiten_num_words,k04_berufserfahrung_num_items,k04_berufserfahrung_num_subkeys,k04_berufserfahrung_num_words,k05_ausbildung_num_items,k05_ausbildung_num_subkeys,k05_ausbildung_num_words,k06_skills_num_items,k06_skills_num_subkeys,k06_skills_num_words,k07_sprachen_num_items,k07_sprachen_num_subkeys,k07_sprachen_num_words,k08_interessen_num_items,k08_interessen_num_subkeys,k08_interessen_num_words,k09_angestrebte_position_num_items,k09_angestrebte_position_num_subkeys,k09_angestrebte_position_num_words,k10_cover_letter_snippet_num_items,k10_cover_letter_snippet_num_subkeys,k10_cover_letter_snippet_num_words
1416,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,10,380,6,6,13,1,0,62,15,0,28,3,0,94,3,0,32,4,4,39,2,0,8,5,0,10,1,0,26,1,0,68
1485,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,10,379,2,2,2,1,0,61,11,0,24,3,0,126,2,0,22,2,2,32,2,2,6,4,0,7,1,0,39,1,0,60
1665,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,10,470,6,6,10,1,0,50,15,0,36,3,0,108,3,0,26,3,3,49,4,0,16,5,0,8,5,5,77,1,0,90
1737,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,10,435,5,5,11,1,0,64,6,6,24,3,0,114,3,0,35,3,3,47,3,0,12,4,0,14,1,0,48,1,0,66
176,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,10,466,6,6,13,1,0,58,3,3,71,3,0,103,2,0,24,4,4,37,7,0,27,5,0,12,1,0,30,1,0,91
1871,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,10,274,5,5,10,1,0,44,1,0,22,3,0,85,3,0,21,7,7,7,4,0,16,1,0,11,1,0,24,1,0,34
1885,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,10,458,6,6,10,1,0,87,20,0,52,3,0,104,1,0,13,4,4,30,2,0,6,4,0,10,5,5,39,1,0,107
201,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,10,482,6,6,11,1,0,84,11,0,32,3,0,92,2,0,27,20,20,36,2,0,8,4,0,8,1,0,63,1,0,121
2100,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,10,453,6,6,12,1,0,75,10,0,28,3,0,111,3,0,33,3,3,43,4,0,16,4,0,16,1,0,31,1,0,88
2147,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,10,400,4,4,17,1,0,53,3,0,18,3,0,90,3,0,27,3,3,29,2,0,8,4,0,16,2,2,58,1,0,84
2168,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,10,362,5,5,12,1,0,57,15,0,25,3,0,84,2,0,21,2,2,15,4,0,16,3,0,7,1,0,45,1,0,80
2173,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,10,372,2,2,2,1,0,63,9,0,47,2,0,75,2,0,17,3,3,41,2,0,8,4,0,4,9,9,48,1,0,67
221,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,10,373,3,3,8,1,0,63,3,3,43,2,0,94,1,0,14,5,5,29,3,3,7,3,0,6,6,6,29,1,0,80
2566,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,10,375,2,2,2,1,0,78,11,0,23,2,0,66,1,0,13,4,4,31,3,0,12,4,0,9,9,9,46,1,0,95
2589,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,10,373,6,6,11,1,0,68,11,0,28,2,0,59,2,0,28,4,4,42,4,0,12,4,0,11,1,0,40,1,0,74
2660,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,10,373,5,5,12,1,0,69,1,0,18,2,0,66,2,0,17,2,2,26,3,0,14,1,0,8,1,0,54,1,0,89
2793,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,10,418,3,3,4,1,0,73,12,0,44,3,0,118,3,0,34,2,2,39,2,0,11,4,0,10,1,0,37,1,0,48
2795,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,10,334,5,5,10,1,0,79,12,0,20,2,0,52,3,0,27,3,3,35,2,0,8,3,0,11,1,0,25,1,0,67
2860,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,10,339,3,3,6,1,0,54,2,2,52,3,0,84,1,0,11,4,4,27,3,3,7,4,0,7,5,5,47,1,0,44
2927,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,10,425,6,6,11,1,0,81,16,0,29,3,0,106,3,3,10,2,2,53,4,0,16,5,0,15,5,5,36,1,0,68
307,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,10,367,6,6,11,1,0,61,6,0,11,3,0,103,1,0,11,4,4,32,3,0,9,3,0,10,6,6,38,1,0,81
3131,Adem,Şeker,male,turkish,40,google-gemini,gemini-2.5-flash-lite,10,341,5,5,9,1,0,41,11,0,33,3,0,81,3,0,30,4,4,26,5,0,20,4,0,7,1,0,28,1,0,66
