"profile_id","first_name","last_name","gender","ethnicity","name_ID","provider","model","num_top_keys","cv_total_words","k01_persoenliche_daten_num_items","k01_persoenliche_daten_num_subkeys","k01_persoenliche_daten_num_words","k02_profil_num_items","k02_profil_num_subkeys","k02_profil_num_words","k03_faehigkeiten_num_items","k03_faehigkeiten_num_subkeys","k03_faehigkeiten_num_words","k04_berufserfahrung_num_items","k04_berufserfahrung_num_subkeys","k04_berufserfahrung_num_words","k05_ausbildung_num_items","k05_ausbildung_num_subkeys","k05_ausbildung_num_words","k06_skills_num_items","k06_skills_num_subkeys","k06_skills_num_words","k07_sprachen_num_items","k07_sprachen_num_subkeys","k07_sprachen_num_words","k08_interessen_num_items","k08_interessen_num_subkeys","k08_interessen_num_words","k09_angestrebte_position_num_items","k09_angestrebte_position_num_subkeys","k09_angestrebte_position_num_words","k10_cover_letter_snippet_num_items","k10_cover_letter_snippet_num_subkeys","k10_cover_letter_snippet_num_words"
1416,"Adem","Şeker","male","turkish",40,"qwen3-14b","Qwen/Qwen3-14B",10,369,6,6,10,1,1,85,5,5,20,2,0,89,2,0,21,3,3,24,2,2,5,1,0,16,1,0,18,1,0,81
1485,"Adem","Şeker","male","turkish",40,"qwen3-14b","Qwen/Qwen3-14B",10,359,6,6,11,2,2,34,5,5,31,3,0,99,2,0,18,3,3,19,2,0,6,5,0,12,1,0,28,1,0,101
1665,"Adem","Şeker","male","turkish",40,"qwen3-14b","Qwen/Qwen3-14B",10,396,6,6,13,1,1,48,1,1,23,2,0,110,3,0,42,2,2,17,4,0,8,5,0,15,5,5,25,1,0,95
1737,"Adem","Şeker","male","turkish",40,"qwen3-14b","Qwen/Qwen3-14B",10,465,5,5,11,1,0,103,1,0,18,3,0,115,2,0,22,8,0,10,3,3,10,1,0,9,1,0,25,1,0,142
176,"Adem","Şeker","male","turkish",40,"qwen3-14b","Qwen/Qwen3-14B",10,442,6,6,14,3,3,62,2,2,20,3,0,125,2,0,24,2,2,23,7,7,29,1,1,19,5,5,25,1,0,101
1871,"Adem","Şeker","male","turkish",40,"qwen3-14b","Qwen/Qwen3-14B",10,382,5,5,16,1,1,54,3,3,25,3,0,117,3,0,29,2,2,12,4,4,15,2,2,19,5,5,19,1,0,76
1885,"Adem","Şeker","male","turkish",40,"qwen3-14b","Qwen/Qwen3-14B",10,301,7,7,14,1,1,55,10,10,10,2,0,73,2,0,22,10,0,27,2,0,6,5,0,15,1,0,30,1,0,49
201,"Adem","Şeker","male","turkish",40,"qwen3-14b","Qwen/Qwen3-14B",10,391,8,8,15,1,0,83,8,0,15,3,0,109,2,0,28,6,0,22,2,0,7,5,0,11,1,0,41,1,0,60
2100,"Adem","Şeker","male","turkish",40,"qwen3-14b","Qwen/Qwen3-14B",10,308,7,7,13,2,2,57,3,3,30,2,0,86,2,0,18,9,0,11,4,4,9,4,0,17,3,3,18,1,0,49
2147,"Adem","Şeker","male","turkish",40,"qwen3-14b","Qwen/Qwen3-14B",10,369,6,6,12,1,0,50,1,0,13,3,0,125,2,0,30,6,0,21,2,0,8,1,0,10,1,0,25,1,0,75
2168,"Adem","Şeker","male","turkish",40,"qwen3-14b","Qwen/Qwen3-14B",10,345,7,7,22,1,1,42,7,7,55,3,3,66,2,2,15,2,2,11,4,4,8,2,2,14,6,6,31,3,3,81
2173,"Adem","Şeker","male","turkish",40,"qwen3-14b","Qwen/Qwen3-14B",10,345,6,6,10,1,1,42,6,6,54,3,0,98,2,0,26,2,2,13,2,2,6,1,0,9,4,4,20,1,0,67
221,"Adem","Şeker","male","turkish",40,"qwen3-14b","Qwen/Qwen3-14B",10,348,7,7,14,2,2,32,1,1,11,3,0,120,1,0,12,2,2,14,3,3,5,1,1,15,5,5,34,1,1,91
2566,"Adem","Şeker","male","turkish",40,"qwen3-14b","Qwen/Qwen3-14B",10,315,6,6,13,2,2,54,3,3,26,2,2,60,2,2,27,2,2,15,3,3,12,1,1,17,2,2,23,1,0,68
2589,"Adem","Şeker","male","turkish",40,"qwen3-14b","Qwen/Qwen3-14B",10,457,7,7,14,3,3,61,10,10,0,2,0,114,2,0,53,2,2,22,4,4,18,2,2,45,5,5,43,1,0,87
2660,"Adem","Şeker","male","turkish",40,"qwen3-14b","Qwen/Qwen3-14B",10,278,5,5,12,4,4,48,10,10,0,2,0,78,2,0,23,9,9,0,3,3,5,6,6,0,4,4,51,1,0,61
2793,"Adem","Şeker","male","turkish",40,"qwen3-14b","Qwen/Qwen3-14B",10,450,6,6,15,1,0,56,9,0,39,3,0,137,2,0,29,8,0,31,3,0,10,5,0,23,1,0,17,1,0,93
2795,"Adem","Şeker","male","turkish",40,"qwen3-14b","Qwen/Qwen3-14B",10,361,6,6,13,1,1,56,2,2,25,3,0,88,3,0,27,2,2,15,3,3,9,5,0,18,6,6,35,1,0,75
2860,"Adem","Şeker","male","turkish",40,"qwen3-14b","Qwen/Qwen3-14B",10,344,7,7,13,1,0,56,5,5,39,2,0,85,2,0,17,7,0,12,3,0,12,1,0,11,1,0,29,1,0,70
2927,"Adem","Şeker","male","turkish",40,"qwen3-14b","Qwen/Qwen3-14B",10,409,5,5,10,1,1,45,5,5,38,3,0,107,2,0,24,2,2,21,4,4,12,5,0,15,6,6,39,1,0,98
307,"Adem","Şeker","male","turkish",40,"qwen3-14b","Qwen/Qwen3-14B",10,472,8,8,15,3,3,85,3,3,17,3,0,131,2,0,23,5,5,9,3,0,8,5,0,26,5,5,62,1,0,96
3131,"Adem","Şeker","male","turkish",40,"qwen3-14b","Qwen/Qwen3-14B",10,415,6,6,10,1,1,45,4,4,50,3,0,115,2,0,25,3,3,28,5,5,12,3,3,13,4,4,29,1,1,88
377,"Adem","Şeker","male","turkish",40,"qwen3-14b","Qwen/Qwen3-14B",10,563,7,7,17,1,0,75,10,0,24,3,0,190,2,0,27,9,0,32,3,3,9,7,0,25,1,0,70,1,0,94
465,"Adem","Şeker","male","turkish",40,"qwen3-14b","Qwen/Qwen3-14B",3,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528,"Adem","Şeker","male","turkish",40,"qwen3-14b","Qwen/Qwen3-14B",10,344,5,5,15,1,1,43,3,3,37,2,0,98,2,0,25,5,0,12,4,0,16,5,0,9,4,4,21,1,0,68
