profile_id,first_name,last_name,gender,ethnicity,name_ID,provider,model,num_top_keys,cv_total_words,k01_persoenliche_daten_num_items,k01_persoenliche_daten_num_subkeys,k01_persoenliche_daten_num_words,k02_profil_num_items,k02_profil_num_subkeys,k02_profil_num_words,k03_faehigkeiten_num_items,k03_faehigkeiten_num_subkeys,k03_faehigkeiten_num_words,k04_berufserfahrung_num_items,k04_berufserfahrung_num_subkeys,k04_berufserfahrung_num_words,k05_ausbildung_num_items,k05_ausbildung_num_subkeys,k05_ausbildung_num_words,k06_skills_num_items,k06_skills_num_subkeys,k06_skills_num_words,k07_sprachen_num_items,k07_sprachen_num_subkeys,k07_sprachen_num_words,k08_interessen_num_items,k08_interessen_num_subkeys,k08_interessen_num_words,k09_angestrebte_position_num_items,k09_angestrebte_position_num_subkeys,k09_angestrebte_position_num_words,k10_cover_letter_snippet_num_items,k10_cover_letter_snippet_num_subkeys,k10_cover_letter_snippet_num_words
1416,Adem,Şeker,male,turkish,40,qwen3-8b,Qwen/Qwen3-8B,10,303,3,3,8,1,0,54,1,0,41,3,0,74,3,0,10,8,0,11,2,0,9,1,0,9,1,0,12,1,0,75
1485,Adem,Şeker,male,turkish,40,qwen3-8b,Qwen/Qwen3-8B,10,336,5,5,9,1,0,51,1,0,14,1,0,110,1,0,13,7,0,23,2,0,6,1,0,14,1,0,10,1,0,86
1665,Adem,Şeker,male,turkish,40,qwen3-8b,Qwen/Qwen3-8B,10,383,5,5,10,1,0,57,1,0,19,1,0,96,1,0,26,1,0,25,1,0,15,1,0,14,1,0,15,1,0,106
1737,Adem,Şeker,male,turkish,40,qwen3-8b,Qwen/Qwen3-8B,10,282,5,5,10,1,0,50,1,0,13,2,0,65,2,0,20,3,3,25,3,0,12,1,0,6,1,0,15,1,0,66
176,Adem,Şeker,male,turkish,40,qwen3-8b,Qwen/Qwen3-8B,10,401,5,5,8,1,0,44,1,0,26,1,0,117,1,0,25,1,0,25,1,0,24,1,0,17,1,0,16,1,0,99
1871,Adem,Şeker,male,turkish,40,qwen3-8b,Qwen/Qwen3-8B,10,482,5,5,10,1,0,64,1,0,50,1,0,121,1,0,25,1,0,67,1,0,33,1,0,16,1,0,8,1,0,88
1885,Adem,Şeker,male,turkish,40,qwen3-8b,Qwen/Qwen3-8B,10,297,5,5,11,1,0,60,1,0,30,1,0,85,1,0,6,5,0,13,2,0,10,1,0,10,1,0,7,1,0,65
201,Adem,Şeker,male,turkish,40,qwen3-8b,Qwen/Qwen3-8B,10,344,5,5,14,1,0,61,1,0,30,2,0,67,2,0,22,10,0,20,2,0,8,5,0,16,1,0,15,1,0,91
2100,Adem,Şeker,male,turkish,40,qwen3-8b,Qwen/Qwen3-8B,10,257,5,5,11,1,0,71,1,0,9,1,0,41,1,0,9,1,0,24,1,0,8,1,0,6,1,0,11,1,0,67
2147,Adem,Şeker,male,turkish,40,qwen3-8b,Qwen/Qwen3-8B,10,278,5,5,7,1,0,40,1,0,25,1,0,86,1,0,25,9,0,11,2,0,6,1,0,6,1,0,12,1,0,60
2168,Adem,Şeker,male,turkish,40,qwen3-8b,Qwen/Qwen3-8B,10,271,4,4,7,1,0,42,11,0,11,2,0,66,3,0,26,8,0,8,4,4,9,5,0,9,1,0,6,1,0,87
2173,Adem,Şeker,male,turkish,40,qwen3-8b,Qwen/Qwen3-8B,10,297,5,5,8,1,0,52,1,0,21,2,0,84,2,0,14,2,2,18,3,3,8,1,0,13,1,0,9,1,0,70
221,Adem,Şeker,male,turkish,40,qwen3-8b,Qwen/Qwen3-8B,10,247,4,4,8,1,0,32,1,0,23,2,0,63,1,0,12,1,0,11,2,0,4,1,0,9,1,0,7,1,0,78
