"profile_id","first_name","last_name","gender","ethnicity","name_ID","provider","model","num_top_keys","cv_total_words","k01_persoenliche_daten_num_items","k01_persoenliche_daten_num_subkeys","k01_persoenliche_daten_num_words","k02_profil_num_items","k02_profil_num_subkeys","k02_profil_num_words","k03_faehigkeiten_num_items","k03_faehigkeiten_num_subkeys","k03_faehigkeiten_num_words","k04_berufserfahrung_num_items","k04_berufserfahrung_num_subkeys","k04_berufserfahrung_num_words","k05_ausbildung_num_items","k05_ausbildung_num_subkeys","k05_ausbildung_num_words","k06_skills_num_items","k06_skills_num_subkeys","k06_skills_num_words","k07_sprachen_num_items","k07_sprachen_num_subkeys","k07_sprachen_num_words","k08_interessen_num_items","k08_interessen_num_subkeys","k08_interessen_num_words","k09_angestrebte_position_num_items","k09_angestrebte_position_num_subkeys","k09_angestrebte_position_num_words","k10_cover_letter_snippet_num_items","k10_cover_letter_snippet_num_subkeys","k10_cover_letter_snippet_num_words"
1416,"Adem","Şeker","male","turkish",40,"openai","ChatGPT",10,180,6,6,8,1,0,37,10,0,15,2,0,41,2,0,13,5,0,6,2,2,5,5,0,8,1,0,13,1,0,34
1485,"Adem","Şeker","male","turkish",40,"openai","ChatGPT",10,186,5,5,9,1,0,42,10,0,10,2,0,48,1,0,4,6,0,8,2,0,4,3,0,15,1,0,14,1,0,32
1665,"Adem","Şeker","male","turkish",40,"openai","ChatGPT",10,223,5,5,9,1,0,42,7,0,18,2,0,57,3,0,20,6,0,10,4,4,4,5,0,11,1,0,12,1,0,40
1737,"Adem","Şeker","male","turkish",40,"openai","ChatGPT",10,190,5,5,10,1,0,42,1,0,10,2,0,45,3,0,18,1,0,8,3,3,3,1,0,9,1,0,13,1,0,32
176,"Adem","Şeker","male","turkish",40,"openai","ChatGPT",10,191,5,5,9,1,0,36,1,0,17,2,0,45,2,0,10,1,0,8,7,7,7,1,0,9,1,0,11,1,0,39
1871,"Adem","Şeker","male","turkish",40,"openai","ChatGPT",10,194,5,5,8,1,0,44,1,0,13,2,0,37,2,0,9,1,0,8,4,4,11,1,0,7,1,0,13,1,0,44
1885,"Adem","Şeker","male","turkish",40,"openai","ChatGPT",10,185,5,5,6,1,0,41,1,0,14,1,0,53,1,0,6,1,0,7,3,3,2,1,0,10,1,0,11,1,0,35
201,"Adem","Şeker","male","turkish",40,"openai","ChatGPT",10,183,5,5,11,1,0,33,1,0,14,2,0,42,2,0,17,1,0,13,3,3,7,1,0,8,1,0,13,1,0,25
2100,"Adem","Şeker","male","turkish",40,"openai","ChatGPT",10,183,5,5,12,1,0,37,1,0,9,2,0,38,2,0,11,1,0,17,4,4,4,5,0,6,1,0,11,1,0,38
2147,"Adem","Şeker","male","turkish",40,"openai","ChatGPT",10,211,5,5,7,1,0,38,1,0,16,3,0,53,3,0,17,1,0,6,3,3,10,1,0,6,1,0,14,1,0,44
2168,"Adem","Şeker","male","turkish",40,"openai","ChatGPT",10,185,5,5,7,1,0,48,6,0,6,2,0,35,2,0,13,5,0,5,4,4,12,5,0,6,1,0,14,1,0,39
2173,"Adem","Şeker","male","turkish",40,"openai","ChatGPT",10,201,5,5,11,1,0,36,1,0,8,3,0,69,2,0,15,1,0,6,2,2,2,1,0,9,1,0,9,1,0,36
221,"Adem","Şeker","male","turkish",40,"openai","ChatGPT",10,175,5,5,10,1,0,42,5,0,6,2,0,40,1,0,7,4,0,5,2,0,4,4,0,7,1,0,12,1,0,42
2566,"Adem","Şeker","male","turkish",40,"openai","ChatGPT",10,201,5,5,8,1,0,33,6,0,17,2,0,55,1,0,6,6,0,16,3,0,6,4,0,7,1,0,12,1,0,41
2589,"Adem","Şeker","male","turkish",40,"openai","ChatGPT",3,71,5,5,9,1,0,50,7,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2660,"Adem","Şeker","male","turkish",40,"openai","ChatGPT",10,223,5,5,10,1,0,57,7,0,7,2,0,51,2,0,11,5,0,5,3,3,9,5,0,14,1,0,18,1,0,41
2793,"Adem","Şeker","male","turkish",40,"openai","ChatGPT",10,233,5,5,10,1,0,44,1,0,20,3,0,65,2,0,14,8,0,9,2,2,6,5,0,8,1,0,12,1,0,45
2795,"Adem","Şeker","male","turkish",40,"openai","ChatGPT",10,234,5,5,10,1,0,55,1,0,13,2,0,41,4,0,26,1,0,6,2,2,6,1,0,11,1,0,5,1,0,61
2860,"Adem","Şeker","male","turkish",40,"openai","ChatGPT",10,195,6,6,13,1,0,29,1,0,18,2,0,50,1,0,5,3,3,12,3,3,11,5,0,10,1,0,10,1,0,37
2927,"Adem","Şeker","male","turkish",40,"openai","ChatGPT",10,205,5,5,9,1,0,44,1,0,16,3,0,59,1,0,8,1,0,6,4,4,4,1,0,11,1,0,19,1,0,29
307,"Adem","Şeker","male","turkish",40,"openai","ChatGPT",10,199,5,5,9,1,0,37,1,0,24,2,0,39,1,0,6,1,0,5,3,3,3,1,0,10,1,0,14,1,0,52
3131,"Adem","Şeker","male","turkish",40,"openai","ChatGPT",10,255,5,5,7,1,0,41,1,0,57,2,0,47,2,0,10,1,0,13,1,0,14,1,0,16,1,0,9,1,0,41
377,"Adem","Şeker","male","turkish",40,"openai","ChatGPT",10,231,6,6,12,1,0,40,1,0,17,3,0,61,3,0,19,8,0,10,3,3,3,6,0,12,1,0,14,1,0,43
465,"Adem","Şeker","male","turkish",40,"openai","ChatGPT",10,185,5,5,11,1,0,39,1,0,20,2,0,46,1,0,6,1,0,6,3,3,3,1,0,8,1,0,7,1,0,39
528,"Adem","Şeker","male","turkish",40,"openai","ChatGPT",10,198,5,5,7,1,0,43,1,0,20,2,0,38,2,0,15,1,0,7,4,4,8,1,0,6,1,0,10,1,0,44
571,"Adem","Şeker","male","turkish",40,"openai","ChatGPT",10,207,5,5,9,1,0,40,3,3,16,3,0,56,1,0,8,4,0,5,4,4,10,4,0,15,1,0,19,1,0,29
6,"Adem","Şeker","male","turkish",40,"openai","ChatGPT",10,137,5,5,10,1,0,34,1,0,7,1,0,11,1,0,6,3,0,5,2,2,6,4,0,7,1,0,17,1,0,34
762,"Adem","Şeker","male","turkish",40,"openai","ChatGPT",10,165,5,5,11,1,0,35,6,0,15,2,0,33,2,0,6,5,0,5,3,3,3,4,0,10,1,0,17,1,0,30
778,"Adem","Şeker","male","turkish",40,"openai","ChatGPT",10,191,5,5,9,1,0,31,1,0,21,3,0,61,1,0,7,1,0,6,2,2,4,1,0,11,1,0,8,1,0,33
930,"Adem","Şeker","male","turkish",40,"openai","ChatGPT",10,276,5,5,11,1,0,45,7,0,63,3,0,65,2,0,16,6,0,9,5,5,5,5,0,8,1,0,12,1,0,42
1416,"Ahmet","Akay","male","turkish",38,"openai","ChatGPT",10,215,5,5,9,1,0,51,1,0,28,2,0,39,2,0,10,1,0,7,2,2,6,1,0,15,1,0,18,1,0,32
1485,"Ahmet","Akay","male","turkish",38,"openai","ChatGPT",10,164,5,5,7,1,0,42,1,0,12,2,0,34,1,0,5,5,0,5,2,2,7,4,0,5,1,0,13,1,0,34
1665,"Ahmet","Akay","male","turkish",38,"openai","ChatGPT",10,265,5,5,10,1,0,53,1,0,23,3,0,63,3,0,19,1,0,10,4,4,4,1,0,10,1,0,13,1,0,60
1737,"Ahmet","Akay","male","turkish",38,"openai","ChatGPT",10,177,5,5,9,1,0,28,1,0,13,2,0,41,3,0,16,1,0,7,3,3,6,1,0,11,1,0,11,1,0,35
176,"Ahmet","Akay","male","turkish",38,"openai","ChatGPT",10,194,6,6,12,1,0,31,6,0,12,2,0,48,2,0,15,5,0,5,7,7,21,5,0,7,1,0,13,1,0,30
1871,"Ahmet","Akay","male","turkish",38,"openai","ChatGPT",10,209,5,5,6,1,0,52,6,0,14,3,0,55,2,0,14,6,0,6,4,4,4,4,0,6,1,0,6,1,0,46
1885,"Ahmet","Akay","male","turkish",38,"openai","ChatGPT",10,185,5,5,7,1,0,46,1,0,14,2,0,38,1,0,5,1,0,9,3,3,11,1,0,6,1,0,14,1,0,35
201,"Ahmet","Akay","male","turkish",38,"openai","ChatGPT",10,168,5,5,9,1,0,42,1,0,12,2,0,32,2,0,13,1,0,6,3,3,2,1,0,7,1,0,7,1,0,38
2100,"Ahmet","Akay","male","turkish",38,"openai","ChatGPT",10,153,5,5,8,1,0,36,1,0,11,2,0,39,2,0,8,1,0,7,4,4,4,1,0,6,1,0,8,1,0,26
2147,"Ahmet","Akay","male","turkish",38,"openai","ChatGPT",10,208,5,5,12,1,0,37,6,0,18,2,0,35,3,0,25,6,0,8,3,3,3,5,0,8,1,0,13,1,0,49
2168,"Ahmet","Akay","male","turkish",38,"openai","ChatGPT",10,183,5,5,13,1,0,35,1,0,11,2,0,44,2,0,12,5,0,5,4,4,4,5,0,5,1,0,9,1,0,45
2173,"Ahmet","Akay","male","turkish",38,"openai","ChatGPT",10,245,5,5,12,1,0,31,6,0,27,3,0,68,2,0,10,5,0,18,2,2,2,5,0,11,1,0,22,1,0,44
221,"Ahmet","Akay","male","turkish",38,"openai","ChatGPT",10,224,5,5,7,1,0,42,1,0,13,3,0,58,1,0,9,6,0,7,3,3,10,5,0,12,1,0,12,1,0,54
2566,"Ahmet","Akay","male","turkish",38,"openai","ChatGPT",10,191,5,5,8,1,0,43,3,0,11,2,0,43,1,0,8,6,0,6,3,3,3,4,0,15,1,0,17,1,0,37
2589,"Ahmet","Akay","male","turkish",38,"openai","ChatGPT",10,196,7,7,11,1,0,40,6,0,14,2,0,30,2,0,17,5,0,5,4,4,12,5,0,7,1,0,10,1,0,50
2660,"Ahmet","Akay","male","turkish",38,"openai","ChatGPT",10,185,5,5,9,1,0,44,1,0,7,2,0,42,2,0,11,1,0,5,3,3,9,1,0,10,1,0,8,1,0,40
2793,"Ahmet","Akay","male","turkish",38,"openai","ChatGPT",10,196,5,5,10,1,0,46,1,0,19,2,0,37,2,0,9,1,0,6,3,3,8,1,0,6,1,0,9,1,0,46
2795,"Ahmet","Akay","male","turkish",38,"openai","ChatGPT",10,206,5,5,10,1,0,37,1,0,19,2,0,45,3,0,25,5,0,6,2,2,6,5,0,8,1,0,12,1,0,38
2860,"Ahmet","Akay","male","turkish",38,"openai","ChatGPT",10,252,5,5,11,1,0,45,3,3,54,3,0,61,1,0,6,2,2,11,3,3,7,4,0,8,1,0,14,1,0,35
