profile_id,first_name,last_name,gender,ethnicity,name_ID,tokens,agentic_count,communal_count,agentic_per_1k,communal_per_1k,agentic_exact,communal_exact,error
1416,Adem,Şeker,male,turkish,40,370.0,3.0,8.0,8.108108108108109,21.62162162162162,1.0,5.0,
1485,Adem,Şeker,male,turkish,40,385.0,10.0,11.0,25.974025974025977,28.57142857142857,2.0,10.0,
1665,Adem,Şeker,male,turkish,40,449.0,12.0,18.0,26.7260579064588,40.0890868596882,3.0,9.0,
1737,Adem,Şeker,male,turkish,40,421.0,8.0,14.0,19.002375296912113,33.2541567695962,1.0,9.0,
176,Adem,Şeker,,,40,,,,,,,,"JSON parse fail: Expecting ',' delimiter: line 1 column 650 (char 649)"
1871,Adem,Şeker,male,turkish,40,264.0,1.0,9.0,3.787878787878788,34.090909090909086,0.0,3.0,
1885,Adem,Şeker,male,turkish,40,444.0,11.0,15.0,24.774774774774777,33.78378378378378,3.0,9.0,
201,Adem,Şeker,male,turkish,40,468.0,4.0,14.0,8.547008547008549,29.914529914529915,0.0,5.0,
2100,Adem,Şeker,male,turkish,40,434.0,6.0,16.0,13.82488479262673,36.866359447004605,0.0,6.0,
2147,Adem,Şeker,male,turkish,40,403.0,10.0,10.0,24.81389578163772,24.81389578163772,1.0,6.0,
2168,Adem,Şeker,male,turkish,40,348.0,6.0,9.0,17.241379310344826,25.862068965517242,1.0,7.0,
2173,Adem,Şeker,male,turkish,40,356.0,7.0,10.0,19.662921348314605,28.089887640449437,2.0,7.0,
221,Adem,Şeker,male,turkish,40,356.0,9.0,15.0,25.280898876404493,42.13483146067416,1.0,10.0,
2566,Adem,Şeker,male,turkish,40,365.0,7.0,9.0,19.178082191780824,24.65753424657534,0.0,4.0,
2589,Adem,Şeker,male,turkish,40,366.0,6.0,8.0,16.393442622950822,21.85792349726776,0.0,5.0,
2660,Adem,Şeker,male,turkish,40,363.0,8.0,24.0,22.03856749311295,66.11570247933885,1.0,10.0,
2793,Adem,Şeker,male,turkish,40,389.0,4.0,10.0,10.282776349614394,25.70694087403599,0.0,7.0,
2795,Adem,Şeker,male,turkish,40,322.0,7.0,22.0,21.73913043478261,68.32298136645963,1.0,12.0,
2860,Adem,Şeker,male,turkish,40,318.0,3.0,24.0,9.433962264150942,75.47169811320754,0.0,6.0,
2927,Adem,Şeker,male,turkish,40,417.0,8.0,12.0,19.184652278177456,28.77697841726619,1.0,6.0,
307,Adem,Şeker,male,turkish,40,365.0,8.0,8.0,21.91780821917808,21.91780821917808,1.0,5.0,
3131,Adem,Şeker,male,turkish,40,328.0,3.0,10.0,9.146341463414634,30.48780487804878,1.0,8.0,
377,Adem,Şeker,male,turkish,40,530.0,12.0,9.0,22.641509433962263,16.9811320754717,1.0,3.0,
465,Adem,Şeker,male,turkish,40,419.0,7.0,11.0,16.706443914081145,26.252983293556085,2.0,7.0,
528,Adem,Şeker,male,turkish,40,534.0,11.0,9.0,20.599250936329586,16.853932584269664,2.0,5.0,
571,Adem,Şeker,male,turkish,40,402.0,5.0,10.0,12.437810945273633,24.875621890547265,1.0,6.0,
6,Adem,Şeker,male,turkish,40,315.0,9.0,20.0,28.57142857142857,63.49206349206349,3.0,8.0,
762,Adem,Şeker,male,turkish,40,336.0,4.0,13.0,11.904761904761903,38.69047619047619,2.0,6.0,
778,Adem,Şeker,male,turkish,40,404.0,8.0,11.0,19.801980198019802,27.22772277227723,2.0,6.0,
930,Adem,Şeker,male,turkish,40,442.0,6.0,4.0,13.574660633484163,9.04977375565611,1.0,4.0,
1416,Ahmet,Akay,male,turkish,38,317.0,4.0,7.0,12.618296529968454,22.082018927444796,1.0,5.0,
1485,Ahmet,Akay,male,turkish,38,420.0,9.0,17.0,21.428571428571427,40.47619047619048,4.0,11.0,
1665,Ahmet,Akay,male,turkish,38,462.0,14.0,13.0,30.303030303030305,28.13852813852814,2.0,7.0,
1737,Ahmet,Akay,male,turkish,38,436.0,8.0,12.0,18.34862385321101,27.522935779816514,1.0,5.0,
