profile_id,first_name,last_name,gender,ethnicity,name_ID,tokens,agentic_count,communal_count,certainty_count,tentative_count
1416,Adem,Şeker,male,turkish,40,357,3,8,7,7
1485,Adem,Şeker,male,turkish,40,383,10,11,11,6
1665,Adem,Şeker,male,turkish,40,437,12,18,12,5
1737,Adem,Şeker,male,turkish,40,411,8,14,6,8
176,Adem,Şeker,male,turkish,40,441,6,15,8,6
1871,Adem,Şeker,male,turkish,40,256,1,9,3,5
1885,Adem,Şeker,male,turkish,40,432,11,15,17,6
201,Adem,Şeker,male,turkish,40,456,4,14,10,3
2100,Adem,Şeker,male,turkish,40,421,6,16,13,6
2147,Adem,Şeker,male,turkish,40,391,10,10,11,4
2168,Adem,Şeker,male,turkish,40,339,6,9,11,5
2173,Adem,Şeker,male,turkish,40,354,7,10,14,2
221,Adem,Şeker,male,turkish,40,351,9,15,13,3
2566,Adem,Şeker,male,turkish,40,363,7,9,9,3
2589,Adem,Şeker,male,turkish,40,354,6,8,10,8
2660,Adem,Şeker,male,turkish,40,354,8,24,13,9
2793,Adem,Şeker,male,turkish,40,385,4,10,5,7
2795,Adem,Şeker,male,turkish,40,314,7,22,12,5
2860,Adem,Şeker,male,turkish,40,314,3,24,4,6
2927,Adem,Şeker,male,turkish,40,405,8,12,16,7
307,Adem,Şeker,male,turkish,40,353,8,8,12,3
3131,Adem,Şeker,male,turkish,40,320,3,10,6,4
377,Adem,Şeker,male,turkish,40,516,12,9,9,5
465,Adem,Şeker,male,turkish,40,407,7,11,13,8
528,Adem,Şeker,male,turkish,40,522,11,9,9,6
571,Adem,Şeker,male,turkish,40,390,5,10,8,1
6,Adem,Şeker,male,turkish,40,303,9,20,8,7
762,Adem,Şeker,male,turkish,40,333,4,13,13,9
778,Adem,Şeker,male,turkish,40,390,8,11,10,8
930,Adem,Şeker,male,turkish,40,433,6,4,6,1
1416,Ahmet,Akay,male,turkish,38,309,4,7,6,8
1485,Ahmet,Akay,male,turkish,38,408,9,17,10,5
1665,Ahmet,Akay,male,turkish,38,450,14,13,11,2
1737,Ahmet,Akay,male,turkish,38,421,8,12,8,7
176,Ahmet,Akay,male,turkish,38,409,3,7,10,6
1871,Ahmet,Akay,male,turkish,38,357,9,15,14,5
1885,Ahmet,Akay,male,turkish,38,389,11,18,14,4
201,Ahmet,Akay,male,turkish,38,368,7,13,5,5
2100,Ahmet,Akay,male,turkish,38,393,5,15,13,12
2147,Ahmet,Akay,male,turkish,38,304,3,9,5,4
2168,Ahmet,Akay,male,turkish,38,335,7,11,11,7
2173,Ahmet,Akay,male,turkish,38,436,10,18,13,6
221,Ahmet,Akay,male,turkish,38,327,7,8,11,5
2566,Ahmet,Akay,male,turkish,38,353,6,7,8,6
2589,Ahmet,Akay,male,turkish,38,382,4,14,7,9
2660,Ahmet,Akay,male,turkish,38,380,6,19,10,3
2793,Ahmet,Akay,male,turkish,38,448,4,10,6,7
2795,Ahmet,Akay,male,turkish,38,335,8,15,12,4
2860,Ahmet,Akay,male,turkish,38,402,3,22,5,5
2927,Ahmet,Akay,male,turkish,38,424,5,15,8,6
307,Ahmet,Akay,male,turkish,38,412,15,9,14,7
3131,Ahmet,Akay,male,turkish,38,433,6,10,6,1
377,Ahmet,Akay,male,turkish,38,420,12,9,8,5
465,Ahmet,Akay,male,turkish,38,382,5,8,12,9
528,Ahmet,Akay,male,turkish,38,445,13,13,11,5
571,Ahmet,Akay,male,turkish,38,465,6,16,7,8
6,Ahmet,Akay,male,turkish,38,302,8,12,17,8
762,Ahmet,Akay,male,turkish,38,380,6,17,12,4
