"profile_id","first_name","last_name","gender","ethnicity","name_ID","tokens","agentic_count","communal_count"
1416,"Adem","Şeker","male","turkish",40,174,0,9
1485,"Adem","Şeker","male","turkish",40,180,6,5
1665,"Adem","Şeker","male","turkish",40,217,5,15
1737,"Adem","Şeker","male","turkish",40,191,3,11
176,"Adem","Şeker","male","turkish",40,188,3,6
1871,"Adem","Şeker","male","turkish",40,193,2,11
1885,"Adem","Şeker","","",40,NA,NA,NA
201,"Adem","Şeker","male","turkish",40,174,1,14
2100,"Adem","Şeker","male","turkish",40,171,2,8
2147,"Adem","Şeker","male","turkish",40,207,2,8
2168,"Adem","Şeker","male","turkish",40,182,1,8
2173,"Adem","Şeker","male","turkish",40,191,6,9
221,"Adem","Şeker","male","turkish",40,169,2,5
2566,"Adem","Şeker","male","turkish",40,197,1,5
2589,"Adem","Şeker","male","turkish",40,72,1,3
2660,"Adem","Şeker","male","turkish",40,218,5,18
2793,"Adem","Şeker","male","turkish",40,223,3,7
2795,"Adem","Şeker","male","turkish",40,228,1,12
2860,"Adem","Şeker","male","turkish",40,186,2,14
2927,"Adem","Şeker","male","turkish",40,199,3,5
307,"Adem","Şeker","male","turkish",40,193,8,6
3131,"Adem","Şeker","male","turkish",40,218,2,9
377,"Adem","Şeker","male","turkish",40,223,6,9
465,"Adem","Şeker","male","turkish",40,175,3,4
528,"Adem","Şeker","male","turkish",40,193,6,3
571,"Adem","Şeker","male","turkish",40,201,1,7
6,"Adem","Şeker","male","turkish",40,139,5,4
762,"Adem","Şeker","male","turkish",40,157,2,8
778,"Adem","Şeker","male","turkish",40,187,4,8
930,"Adem","Şeker","male","turkish",40,249,6,4
1416,"Ahmet","Akay","male","turkish",38,204,3,6
1485,"Ahmet","Akay","male","turkish",38,159,4,5
1665,"Ahmet","Akay","male","turkish",38,265,11,11
1737,"Ahmet","Akay","male","turkish",38,172,4,8
176,"Ahmet","Akay","male","turkish",38,190,2,6
1871,"Ahmet","Akay","male","turkish",38,202,3,6
1885,"Ahmet","Akay","male","turkish",38,186,1,11
201,"Ahmet","Akay","male","turkish",38,166,3,7
2100,"Ahmet","Akay","male","turkish",38,152,5,2
2147,"Ahmet","Akay","male","turkish",38,195,3,10
2168,"Ahmet","Akay","male","turkish",38,178,2,12
2173,"Ahmet","Akay","male","turkish",38,233,2,8
221,"Ahmet","Akay","male","turkish",38,222,4,7
2566,"Ahmet","Akay","male","turkish",38,188,3,9
2589,"Ahmet","Akay","male","turkish",38,194,3,10
2660,"Ahmet","Akay","male","turkish",38,179,2,21
