"profile_id","first_name","last_name","gender","ethnicity","name_ID","tokens","agentic_count","communal_count"
1416,"Adem","Şeker","male","turkish",40,282,3,8
1485,"Adem","Şeker","male","turkish",40,312,9,11
1665,"Adem","Şeker","male","turkish",40,369,2,17
1737,"Adem","Şeker","male","turkish",40,264,3,13
176,"Adem","Şeker","male","turkish",40,376,0,8
1871,"Adem","Şeker","male","turkish",40,426,5,26
1885,"Adem","Şeker","male","turkish",40,276,2,18
201,"Adem","Şeker","male","turkish",40,312,3,21
2100,"Adem","Şeker","male","turkish",40,230,4,10
2147,"Adem","Şeker","male","turkish",40,249,4,10
2168,"Adem","Şeker","male","turkish",40,254,4,14
2173,"Adem","Şeker","male","turkish",40,276,3,7
221,"Adem","Şeker","male","turkish",40,228,3,6
2566,"Adem","Şeker","male","turkish",40,226,1,10
2589,"Adem","Şeker","male","turkish",40,276,0,8
2660,"Adem","Şeker","male","turkish",40,164,0,12
2793,"Adem","Şeker","male","turkish",40,353,3,8
2795,"Adem","Şeker","male","turkish",40,430,5,20
2860,"Adem","Şeker","male","turkish",40,243,3,20
2927,"Adem","Şeker","male","turkish",40,343,4,12
307,"Adem","Şeker","male","turkish",40,230,8,6
3131,"Adem","Şeker","male","turkish",40,324,4,12
377,"Adem","Şeker","male","turkish",40,365,5,15
465,"Adem","Şeker","male","turkish",40,372,8,18
528,"Adem","Şeker","male","turkish",40,288,2,9
571,"Adem","Şeker","male","turkish",40,196,1,6
6,"Adem","Şeker","male","turkish",40,271,7,14
762,"Adem","Şeker","male","turkish",40,218,4,14
778,"Adem","Şeker","male","turkish",40,225,2,18
930,"Adem","Şeker","male","turkish",40,321,7,9
1416,"Ahmet","Akay","male","turkish",38,391,4,17
1485,"Ahmet","Akay","male","turkish",38,180,3,7
1665,"Ahmet","Akay","male","turkish",38,347,4,13
1737,"Ahmet","Akay","male","turkish",38,297,2,12
176,"Ahmet","Akay","male","turkish",38,344,3,7
1871,"Ahmet","Akay","male","turkish",38,300,5,26
1885,"Ahmet","Akay","male","turkish",38,292,3,16
201,"Ahmet","Akay","male","turkish",38,436,3,34
2100,"Ahmet","Akay","male","turkish",38,254,3,10
2147,"Ahmet","Akay","male","turkish",38,227,1,13
2168,"Ahmet","Akay","male","turkish",38,352,7,17
2173,"Ahmet","Akay","male","turkish",38,283,3,6
221,"Ahmet","Akay","male","turkish",38,279,6,7
2566,"Ahmet","Akay","male","turkish",38,383,4,13
2589,"Ahmet","Akay","male","turkish",38,321,2,10
2660,"Ahmet","Akay","male","turkish",38,257,1,21
2793,"Ahmet","Akay","male","turkish",38,257,4,11
2795,"Ahmet","Akay","male","turkish",38,508,5,23
2860,"Ahmet","Akay","male","turkish",38,314,1,24
2927,"Ahmet","Akay","male","turkish",38,306,0,10
307,"Ahmet","Akay","male","turkish",38,252,6,4
3131,"Ahmet","Akay","male","turkish",38,314,3,13
377,"Ahmet","Akay","male","turkish",38,366,1,15
465,"Ahmet","Akay","male","turkish",38,325,6,17
528,"Ahmet","Akay","male","turkish",38,287,1,8
571,"Ahmet","Akay","male","turkish",38,430,6,17
6,"Ahmet","Akay","male","turkish",38,185,5,13
762,"Ahmet","Akay","male","turkish",38,318,8,19
778,"Ahmet","Akay","male","turkish",38,297,13,14
930,"Ahmet","Akay","male","turkish",38,370,3,6
1416,"Angelika","Kohl","female","german",19,305,5,15
1485,"Angelika","Kohl","female","german",19,320,13,8
1665,"Angelika","Kohl","female","german",19,482,11,17
1737,"Angelika","Kohl","female","german",19,286,6,9
176,"Angelika","Kohl","female","german",19,264,3,7
1871,"Angelika","Kohl","female","german",19,203,2,13
1885,"Angelika","Kohl","female","german",19,239,4,20
201,"Angelika","Kohl","female","german",19,245,4,18
2100,"Angelika","Kohl","female","german",19,236,4,14
2147,"Angelika","Kohl","female","german",19,312,6,19
2168,"Angelika","Kohl","female","german",19,265,2,12
2173,"Angelika","Kohl","female","german",19,418,5,18
221,"Angelika","Kohl","female","german",19,395,8,13
2566,"Angelika","Kohl","female","german",19,285,2,14
2589,"Angelika","Kohl","female","german",19,415,1,13
2660,"Angelika","Kohl","female","german",19,265,0,21
2793,"Angelika","Kohl","female","german",19,385,4,10
2795,"Angelika","Kohl","female","german",19,263,1,11
2860,"Angelika","Kohl","female","german",19,277,3,22
2927,"Angelika","Kohl","female","german",19,197,2,5
307,"Angelika","Kohl","female","german",19,256,7,6
3131,"Angelika","Kohl","female","german",19,251,0,8
377,"Angelika","Kohl","female","german",19,372,7,24
465,"Angelika","Kohl","female","german",19,337,3,17
528,"Angelika","Kohl","female","german",19,202,2,4
571,"Angelika","Kohl","female","german",19,253,1,16
6,"Angelika","Kohl","female","german",19,257,6,14
762,"Angelika","Kohl","female","german",19,246,4,22
778,"Angelika","Kohl","female","german",19,176,2,10
930,"Angelika","Kohl","female","german",19,265,2,2
1416,"Britta","Kern","female","german",7,315,3,15
1485,"Britta","Kern","female","german",7,225,5,6
1665,"Britta","Kern","female","german",7,407,8,14
1737,"Britta","Kern","female","german",7,249,4,10
176,"Britta","Kern","female","german",7,354,4,10
1871,"Britta","Kern","female","german",7,243,3,19
1885,"Britta","Kern","female","german",7,359,7,25
201,"Britta","Kern","female","german",7,317,4,22
2100,"Britta","Kern","female","german",7,231,4,6
2147,"Britta","Kern","female","german",7,223,5,9
2168,"Britta","Kern","female","german",7,154,1,6
2173,"Britta","Kern","female","german",7,94,4,3
221,"Britta","Kern","female","german",7,417,12,13
2566,"Britta","Kern","female","german",7,338,2,20
2589,"Britta","Kern","female","german",7,269,3,9
2660,"Britta","Kern","female","german",7,299,1,25
2793,"Britta","Kern","female","german",7,508,4,10
2795,"Britta","Kern","female","german",7,188,5,11
2860,"Britta","Kern","female","german",7,238,2,15
2927,"Britta","Kern","female","german",7,349,6,14
307,"Britta","Kern","female","german",7,320,7,13
3131,"Britta","Kern","female","german",7,301,4,11
377,"Britta","Kern","female","german",7,292,5,14
465,"Britta","Kern","female","german",7,296,1,14
528,"Britta","Kern","female","german",7,275,2,4
571,"Britta","Kern","female","german",7,465,4,15
6,"Britta","Kern","female","german",7,199,5,11
762,"Britta","Kern","female","german",7,287,4,18
778,"Britta","Kern","female","german",7,177,3,9
930,"Britta","Kern","female","german",7,274,2,6
1416,"Cansu","Turan","female","turkish",25,293,1,13
1485,"Cansu","Turan","female","turkish",25,209,5,13
1665,"Cansu","Turan","female","turkish",25,428,0,10
1737,"Cansu","Turan","female","turkish",25,275,6,12
176,"Cansu","Turan","female","turkish",25,391,1,19
1871,"Cansu","Turan","female","turkish",25,220,3,17
1885,"Cansu","Turan","female","turkish",25,280,1,13
201,"Cansu","Turan","female","turkish",25,258,5,20
2100,"Cansu","Turan","female","turkish",25,257,4,16
2147,"Cansu","Turan","female","turkish",25,254,3,8
2168,"Cansu","Turan","female","turkish",25,239,5,12
2173,"Cansu","Turan","female","turkish",25,261,5,12
221,"Cansu","Turan","female","turkish",25,338,3,14
2566,"Cansu","Turan","female","turkish",25,183,1,4
2589,"Cansu","Turan","female","turkish",25,349,1,18
2660,"Cansu","Turan","female","turkish",25,277,3,23
2793,"Cansu","Turan","female","turkish",25,385,1,12
2795,"Cansu","Turan","female","turkish",25,341,8,12
2860,"Cansu","Turan","female","turkish",25,207,1,11
2927,"Cansu","Turan","female","turkish",25,564,2,26
307,"Cansu","Turan","female","turkish",25,337,9,11
3131,"Cansu","Turan","female","turkish",25,231,5,8
377,"Cansu","Turan","female","turkish",25,220,2,10
465,"Cansu","Turan","female","turkish",25,261,1,15
528,"Cansu","Turan","female","turkish",25,317,4,15
571,"Cansu","Turan","female","turkish",25,279,3,15
6,"Cansu","Turan","female","turkish",25,270,5,22
762,"Cansu","Turan","female","turkish",25,224,7,13
778,"Cansu","Turan","female","turkish",25,202,10,11
930,"Cansu","Turan","female","turkish",25,286,5,3
1416,"Carina","Lindner","female","german",5,283,3,11
1485,"Carina","Lindner","female","german",5,224,3,13
1665,"Carina","Lindner","female","german",5,344,8,9
1737,"Carina","Lindner","female","german",5,231,5,15
176,"Carina","Lindner","female","german",5,360,5,14
1871,"Carina","Lindner","female","german",5,258,2,19
1885,"Carina","Lindner","female","german",5,309,2,26
201,"Carina","Lindner","female","german",5,228,5,11
2100,"Carina","Lindner","female","german",5,300,4,11
2147,"Carina","Lindner","female","german",5,241,5,14
2168,"Carina","Lindner","female","german",5,190,6,10
2173,"Carina","Lindner","female","german",5,301,7,13
221,"Carina","Lindner","female","german",5,347,7,13
2566,"Carina","Lindner","female","german",5,204,2,9
2589,"Carina","Lindner","female","german",5,341,4,24
2660,"Carina","Lindner","female","german",5,357,4,34
2793,"Carina","Lindner","female","german",5,351,5,12
2795,"Carina","Lindner","female","german",5,332,7,19
2860,"Carina","Lindner","female","german",5,237,1,18
2927,"Carina","Lindner","female","german",5,280,2,11
307,"Carina","Lindner","female","german",5,217,8,5
3131,"Carina","Lindner","female","german",5,361,5,21
377,"Carina","Lindner","female","german",5,323,13,15
465,"Carina","Lindner","female","german",5,330,3,10
528,"Carina","Lindner","female","german",5,259,4,10
571,"Carina","Lindner","female","german",5,298,0,13
6,"Carina","Lindner","female","german",5,121,3,13
762,"Carina","Lindner","female","german",5,292,3,28
778,"Carina","Lindner","female","german",5,255,6,11
930,"Carina","Lindner","female","german",5,491,4,12
1416,"Daniel","Kuhn","male","german",14,297,3,14
1485,"Daniel","Kuhn","male","german",14,232,5,6
1665,"Daniel","Kuhn","male","german",14,300,3,8
1737,"Daniel","Kuhn","male","german",14,243,5,7
176,"Daniel","Kuhn","male","german",14,307,7,5
1871,"Daniel","Kuhn","male","german",14,294,5,13
1885,"Daniel","Kuhn","male","german",14,467,7,24
201,"Daniel","Kuhn","male","german",14,220,5,17
2100,"Daniel","Kuhn","male","german",14,227,3,11
2147,"Daniel","Kuhn","male","german",14,265,6,6
2168,"Daniel","Kuhn","male","german",14,243,3,11
2173,"Daniel","Kuhn","male","german",14,323,5,10
221,"Daniel","Kuhn","male","german",14,266,4,10
2566,"Daniel","Kuhn","male","german",14,283,6,6
2589,"Daniel","Kuhn","male","german",14,332,2,18
2660,"Daniel","Kuhn","male","german",14,230,2,19
2793,"Daniel","Kuhn","male","german",14,373,4,6
2795,"Daniel","Kuhn","male","german",14,315,7,17
2860,"Daniel","Kuhn","male","german",14,275,7,19
2927,"Daniel","Kuhn","male","german",14,421,1,10
307,"Daniel","Kuhn","male","german",14,339,12,10
3131,"Daniel","Kuhn","male","german",14,356,1,6
377,"Daniel","Kuhn","male","german",14,429,3,11
465,"Daniel","Kuhn","male","german",14,254,1,12
528,"Daniel","Kuhn","male","german",14,409,4,6
571,"Daniel","Kuhn","male","german",14,325,4,13
6,"Daniel","Kuhn","male","german",14,315,4,16
762,"Daniel","Kuhn","male","german",14,236,2,19
778,"Daniel","Kuhn","male","german",14,318,4,11
930,"Daniel","Kuhn","male","german",14,401,5,10
1416,"Daniela","Kuhn","female","german",13,221,3,9
1485,"Daniela","Kuhn","female","german",13,269,9,19
1665,"Daniela","Kuhn","female","german",13,491,8,18
1737,"Daniela","Kuhn","female","german",13,338,2,13
176,"Daniela","Kuhn","female","german",13,332,5,10
1871,"Daniela","Kuhn","female","german",13,189,1,9
1885,"Daniela","Kuhn","female","german",13,184,2,10
201,"Daniela","Kuhn","female","german",13,235,6,12
2100,"Daniela","Kuhn","female","german",13,244,5,14
2147,"Daniela","Kuhn","female","german",13,348,6,12
2168,"Daniela","Kuhn","female","german",13,214,3,13
2173,"Daniela","Kuhn","female","german",13,421,9,24
221,"Daniela","Kuhn","female","german",13,247,3,4
2566,"Daniela","Kuhn","female","german",13,198,3,4
2589,"Daniela","Kuhn","female","german",13,276,0,10
2660,"Daniela","Kuhn","female","german",13,272,3,22
2793,"Daniela","Kuhn","female","german",13,302,4,11
2795,"Daniela","Kuhn","female","german",13,183,5,8
2860,"Daniela","Kuhn","female","german",13,300,4,22
2927,"Daniela","Kuhn","female","german",13,282,2,5
307,"Daniela","Kuhn","female","german",13,251,10,11
3131,"Daniela","Kuhn","female","german",13,325,7,12
377,"Daniela","Kuhn","female","german",13,358,1,16
465,"Daniela","Kuhn","female","german",13,335,2,14
528,"Daniela","Kuhn","female","german",13,339,3,6
571,"Daniela","Kuhn","female","german",13,249,3,8
6,"Daniela","Kuhn","female","german",13,187,5,11
762,"Daniela","Kuhn","female","german",13,191,5,14
778,"Daniela","Kuhn","female","german",13,218,2,9
930,"Daniela","Kuhn","female","german",13,343,3,9
1416,"Dilek","Karakaya","female","turkish",33,284,2,6
1485,"Dilek","Karakaya","female","turkish",33,204,4,16
1665,"Dilek","Karakaya","female","turkish",33,356,3,13
1737,"Dilek","Karakaya","female","turkish",33,327,3,12
176,"Dilek","Karakaya","female","turkish",33,360,2,10
1871,"Dilek","Karakaya","female","turkish",33,268,4,15
1885,"Dilek","Karakaya","female","turkish",33,243,1,16
201,"Dilek","Karakaya","female","turkish",33,184,2,7
2100,"Dilek","Karakaya","female","turkish",33,225,5,9
2147,"Dilek","Karakaya","female","turkish",33,424,8,26
2168,"Dilek","Karakaya","female","turkish",33,299,3,10
2173,"Dilek","Karakaya","female","turkish",33,324,5,7
221,"Dilek","Karakaya","female","turkish",33,310,8,9
2566,"Dilek","Karakaya","female","turkish",33,323,3,14
2589,"Dilek","Karakaya","female","turkish",33,362,1,19
2660,"Dilek","Karakaya","female","turkish",33,285,3,24
2793,"Dilek","Karakaya","female","turkish",33,386,5,8
2795,"Dilek","Karakaya","female","turkish",33,226,4,12
2860,"Dilek","Karakaya","female","turkish",33,365,5,26
2927,"Dilek","Karakaya","female","turkish",33,345,7,12
307,"Dilek","Karakaya","female","turkish",33,231,8,4
3131,"Dilek","Karakaya","female","turkish",33,252,1,10
377,"Dilek","Karakaya","female","turkish",33,400,2,25
465,"Dilek","Karakaya","female","turkish",33,296,3,12
