profile_id,first_name,last_name,gender,ethnicity,name_ID,tokens,agentic_count,communal_count,certainty_count,tentative_count
1416,Adem,Şeker,male,turkish,40,282,3,8,3,1
1485,Adem,Şeker,male,turkish,40,312,9,11,6,2
1665,Adem,Şeker,male,turkish,40,369,2,17,3,2
1737,Adem,Şeker,male,turkish,40,264,3,13,2,0
176,Adem,Şeker,male,turkish,40,376,0,8,2,3
1871,Adem,Şeker,male,turkish,40,426,5,26,5,1
1885,Adem,Şeker,male,turkish,40,276,2,18,4,4
201,Adem,Şeker,male,turkish,40,312,3,21,4,9
2100,Adem,Şeker,male,turkish,40,230,4,10,2,0
2147,Adem,Şeker,male,turkish,40,249,4,10,5,1
2168,Adem,Şeker,male,turkish,40,254,4,14,3,2
2173,Adem,Şeker,male,turkish,40,276,3,7,3,2
221,Adem,Şeker,male,turkish,40,228,3,6,3,0
2566,Adem,Şeker,male,turkish,40,226,1,10,3,2
2589,Adem,Şeker,male,turkish,40,276,0,8,5,0
2660,Adem,Şeker,male,turkish,40,164,0,12,1,0
2793,Adem,Şeker,male,turkish,40,353,3,8,4,1
2795,Adem,Şeker,male,turkish,40,430,5,20,7,2
2860,Adem,Şeker,male,turkish,40,243,3,20,5,3
2927,Adem,Şeker,male,turkish,40,343,4,12,5,5
307,Adem,Şeker,male,turkish,40,230,8,6,5,3
3131,Adem,Şeker,male,turkish,40,324,4,12,6,2
377,Adem,Şeker,male,turkish,40,365,5,15,7,8
465,Adem,Şeker,male,turkish,40,372,8,18,8,2
528,Adem,Şeker,male,turkish,40,288,2,9,2,2
571,Adem,Şeker,male,turkish,40,196,1,6,1,0
6,Adem,Şeker,male,turkish,40,271,7,14,6,3
762,Adem,Şeker,male,turkish,40,218,4,14,6,3
778,Adem,Şeker,male,turkish,40,225,2,18,1,8
930,Adem,Şeker,male,turkish,40,321,7,9,4,2
1416,Ahmet,Akay,male,turkish,38,391,4,17,7,8
1485,Ahmet,Akay,male,turkish,38,180,3,7,3,2
1665,Ahmet,Akay,male,turkish,38,347,4,13,3,3
1737,Ahmet,Akay,male,turkish,38,297,2,12,1,3
176,Ahmet,Akay,male,turkish,38,344,3,7,4,3
1871,Ahmet,Akay,male,turkish,38,300,5,26,3,2
1885,Ahmet,Akay,male,turkish,38,292,3,16,4,2
201,Ahmet,Akay,male,turkish,38,436,3,34,3,12
2100,Ahmet,Akay,male,turkish,38,254,3,10,1,1
2147,Ahmet,Akay,male,turkish,38,227,1,13,7,1
2168,Ahmet,Akay,male,turkish,38,352,7,17,8,4
2173,Ahmet,Akay,male,turkish,38,283,3,6,1,2
221,Ahmet,Akay,male,turkish,38,279,6,7,6,1
2566,Ahmet,Akay,male,turkish,38,383,4,13,7,3
2589,Ahmet,Akay,male,turkish,38,321,2,10,1,3
2660,Ahmet,Akay,male,turkish,38,257,1,21,5,3
2793,Ahmet,Akay,male,turkish,38,257,4,11,4,0
